,time,6.2 Hz - 12.5 Hz,avg_7,avg_3,avg_1
0,2021-04-01 00:00:02.350,-80.343421936,,-80.343421936,-80.343421936
1,2021-04-01 00:30:02.350,-79.9686889648,,-80.1560554504,-80.1560554504
2,2021-04-01 01:00:02.350,-79.5473098755,,-79.95314025876667,-79.95314025876667
3,2021-04-01 01:30:02.350,-79.5668869019,,-79.85657691955001,-79.85657691955001
4,2021-04-01 02:00:02.350,-79.4846954346,,-79.78220062256,-79.78220062256
5,2021-04-01 02:30:02.350,-79.8988723755,,-79.80164591471667,-79.80164591471667
6,2021-04-01 03:00:02.350,-80.4002151489,,-79.88715580531428,-79.88715580531428
7,2021-04-01 03:30:02.350,-80.692779541,-79.987858772275,-79.987858772275,-79.987858772275
8,2021-04-01 04:00:02.350,-80.9989242554,-80.10019938151112,-80.10019938151112,-80.10019938151112
9,2021-04-01 04:30:02.350,-80.6760177612,-80.15778121948,-80.15778121948,-80.15778121948
10,2021-04-01 05:00:02.350,-80.714805603,-80.2084197998,-80.2084197998,-80.2084197998
11,2021-04-01 05:30:02.350,-80.5440826416,-80.23639170328333,-80.23639170328333,-80.23639170328333
12,2021-04-01 06:00:02.350,-81.0713577271,-80.30061985896154,-80.30061985896154,-80.30061985896154
13,2021-04-01 06:30:02.350,-80.6267547607,-80.32391520908571,-80.32391520908571,-80.32391520908571
14,2021-04-01 07:00:02.350,-80.4969558716,-80.33545125325332,-80.33545125325332,-80.33545125325332
15,2021-04-01 07:30:02.350,-80.7274246216,-80.359949588775,-80.359949588775,-80.359949588775
16,2021-04-01 08:00:02.350,-80.4788208008,-80.36694201301177,-80.36694201301177,-80.36694201301177
17,2021-04-01 08:30:02.350,-80.5450439453,-80.37683656480556,-80.37683656480556,-80.37683656480556
18,2021-04-01 09:00:02.350,-81.1776046753,-80.41898225483158,-80.41898225483158,-80.41898225483158
19,2021-04-01 09:30:02.350,-81.462097168,-80.47113800049,-80.47113800049,-80.47113800049
20,2021-04-01 10:00:02.350,-81.7192077637,-80.53056989397619,-80.53056989397619,-80.53056989397619
21,2021-04-01 10:30:02.350,-81.8667068481,-80.5913033918909,-80.5913033918909,-80.5913033918909
22,2021-04-01 11:00:02.350,-82.0327301025,-80.65397411843912,-80.65397411843912,-80.65397411843912
23,2021-04-01 11:30:02.350,-83.0792999268,-80.75502936045417,-80.75502936045417,-80.75502936045417
24,2021-04-01 12:00:02.350,-83.9858932495,-80.884263916016,-80.884263916016,-80.884263916016
25,2021-04-01 12:30:02.350,-84.2269973755,-81.01283058753461,-81.01283058753461,-81.01283058753461
26,2021-04-01 13:00:02.350,-84.1801605225,-81.13013910364444,-81.13013910364444,-81.13013910364444
27,2021-04-01 13:30:02.350,-84.3295211792,-81.2444027492,-81.2444027492,-81.2444027492
