,time,avg_1,avg_3,avg_7
0,2019-12-01,,,
1,2019-12-02,,,
2,2019-12-03,,,
3,2019-12-04,,,
4,2019-12-05,,,
5,2019-12-06,2.0429636445484833,2.0429636445484833,
6,2019-12-07,2.7500239417146997,2.662644563338393,
7,2019-12-08,,2.662644563338393,2.662644563338393
8,2019-12-09,-5.046887124517796,-1.2205776208412298,2.039317047162165
9,2019-12-10,-8.476041235359073,-7.459403927326427,0.5778485212078898
10,2019-12-11,,-7.459403927326427,0.5778485212078898
11,2019-12-12,-4.532866058055582,-6.385515935048702,-3.3592820030493
12,2019-12-13,-7.134320020388193,-6.3152285750422825,-5.577948313288257
13,2019-12-14,-8.489172909102198,-7.300134950988523,-7.313560833237087
14,2019-12-15,-9.990111215820582,-8.628636368904221,-8.035831304838984
15,2019-12-16,-10.503070002688618,-9.852049520996825,-8.724724414284555
16,2019-12-17,-13.375814190838959,-10.862707512903276,-9.05134360382377
17,2019-12-18,-9.153731470620723,-10.655221882166705,-9.116640649243864
18,2019-12-19,-12.024387344401356,-11.421463711867052,-9.709798265763089
19,2019-12-20,-5.491328424877824,-8.862726639326945,-9.787024312576813
20,2019-12-21,-7.056149478305088,-7.298600112463706,-9.287824670377134
21,2019-12-22,-8.680093198517477,-7.540065626582345,-8.863328805188525
22,2019-12-23,-7.390605803391615,-7.823561593447249,-8.23183755837229
23,2019-12-24,-9.003799337550541,-8.409297474636192,-8.104837261979435
24,2019-12-25,-5.957451165435997,-7.615516821330711,-7.8298691346250715
25,2019-12-26,-8.112103966635246,-7.969904536338971,-7.621262199178688
26,2019-12-27,-7.772566979274709,-7.640805034774518,-7.884965805688087
27,2019-12-28,-6.354321713255357,-7.447318650909912,-8.024013953985081
28,2019-12-29,-9.368687362228284,-7.884885712497522,-7.744359084087952
29,2019-12-30,,-7.562388168103748,-7.96352125763686
30,2019-12-31,,-9.368687362228284,-7.640805034774518
31,2020-01-01,,,-8.00352697858774
32,2020-01-02,-5.948178930241751,-5.948178930241751,-6.938701343541645
33,2020-01-03,-6.2134816456270245,-6.126486536912188,-6.582657449964658
34,2020-01-04,-8.032273275129535,-6.504371790410454,-6.8988921665715
35,2020-01-05,,-6.802203466492115,-6.504371790410454
36,2020-01-06,,-8.032273275129535,-6.504371790410454
37,2020-01-07,-6.373247359863081,-6.373247359863081,-6.518966358164542
