,time,avg_1,avg_3,avg_7
0,2019-12-01,,,
1,2019-12-02,,,
2,2019-12-03,,,
3,2019-12-04,,,
4,2019-12-05,,,
5,2019-12-06,,,
6,2019-12-07,,,
7,2019-12-08,,,
8,2019-12-09,,,
9,2019-12-10,,,
10,2019-12-11,,,
11,2019-12-12,,,
12,2019-12-13,,,
13,2019-12-14,0.2904229121794345,0.2904229121794345,0.2904229121794345
14,2019-12-15,-5.964286287956595,-3.014123637871711,-3.014123637871711
15,2019-12-16,,-3.014123637871711,-3.014123637871711
16,2019-12-17,,-5.964286287956595,-3.014123637871711
17,2019-12-18,,,-3.014123637871711
18,2019-12-19,,,-3.014123637871711
19,2019-12-20,,,-3.014123637871711
20,2019-12-21,,,-5.964286287956595
21,2019-12-22,,,
22,2019-12-23,,,
23,2019-12-24,,,
24,2019-12-25,,,
25,2019-12-26,,,
26,2019-12-27,,,
27,2019-12-28,,,
28,2019-12-29,,,
29,2019-12-30,,,
30,2019-12-31,,,
31,2020-01-01,-2.912318974150468,-2.912318974150468,-2.912318974150468
32,2020-01-02,-7.22122761771921,-4.374481822479308,-4.374481822479308
33,2020-01-03,,-4.374481822479308,-4.374481822479308
34,2020-01-04,,-7.22122761771921,-4.374481822479308
35,2020-01-05,,,-4.374481822479308
36,2020-01-06,,,-4.374481822479308
37,2020-01-07,,,-4.374481822479308
38,2020-01-08,,,-7.22122761771921
39,2020-01-09,,,
40,2020-01-10,,,
41,2020-01-11,,,
42,2020-01-12,,,
43,2020-01-13,,,
44,2020-01-14,,,
45,2020-01-15,,,
46,2020-01-16,,,
47,2020-01-17,,,
48,2020-01-18,,,
49,2020-01-19,,,
50,2020-01-20,,,
51,2020-01-21,1.9399100117595485,1.9399100117595485,1.9399100117595485
52,2020-01-22,-2.6492517865490193,-1.1605694666284705,-1.1605694666284705
53,2020-01-23,,-1.1605694666284705,-1.1605694666284705
54,2020-01-24,,-2.6492517865490193,-1.1605694666284705
55,2020-01-25,,,-1.1605694666284705
56,2020-01-26,,,-1.1605694666284705
57,2020-01-27,,,-1.1605694666284705
58,2020-01-28,,,-2.6492517865490193
59,2020-01-29,,,
60,2020-01-30,,,
61,2020-01-31,,,
62,2020-02-01,,,
63,2020-02-02,,,
64,2020-02-03,,,
65,2020-02-04,,,
66,2020-02-05,,,
67,2020-02-06,,,
