,time,avg_1,avg_3,avg_7
0,2019-12-01,-6.352935103938945,,
1,2019-12-02,-5.212921198846573,,
2,2019-12-03,-7.011402730088249,,
3,2019-12-04,-0.49957672531591113,-5.229996154275745,
4,2019-12-05,-7.316218833874167,-6.203730089525481,
5,2019-12-06,,-4.646710617258245,
6,2019-12-07,-4.051662618604745,-6.320194324047199,
7,2019-12-08,-9.089907735091206,-7.774985503728675,-6.961268155066838
8,2019-12-09,-0.0861580369446816,-6.798036421368083,-6.572118482223456
9,2019-12-10,-6.797086995250763,-7.614250337562308,-6.6448170097012
10,2019-12-11,-1.0040926855163192,-2.0163890717501545,-6.24475649844767
11,2019-12-12,-5.759222931984824,-4.9148949394212424,-5.811270135716808
12,2019-12-13,-6.958745677502307,-5.620399456004388,-6.532979119376348
13,2019-12-14,,-7.010829840774732,-6.681294061805083
14,2019-12-15,,-6.958745677502307,-5.322589336377933
15,2019-12-16,-0.1349674555008726,-0.1349674555008726,-4.888101597741345
16,2019-12-17,-3.8150978622076797,-2.3917416401839846,-3.781250780653843
17,2019-12-18,-4.156989094856182,-2.977329883712081,-4.993288921665487
18,2019-12-19,-3.8779397494200354,-3.7727575460364924,-4.045642864280289
19,2019-12-20,-6.630328719021772,-5.2841116884545904,-3.6627652885357644
20,2019-12-21,,-5.658140018712702,-3.6627652885357644
21,2019-12-22,,-6.630328719021772,-3.6627652885357644
22,2019-12-23,0.9260001850858528,0.9260001850858528,-3.7238277503637613
23,2019-12-24,-8.738521528584746,-3.526472157573565,-4.91900330276117
24,2019-12-25,,-3.526472157573565,-5.233823967008185
25,2019-12-26,,-8.738521528584746,-5.824846339157142
26,2019-12-27,0.14237019916772728,0.14237019916772728,-1.3679002796708688
27,2019-12-28,-4.509338943233608,-2.4232708333600157,-2.6779939392492365
28,2019-12-29,-7.330685951818492,-6.4825427232537285,-6.285072323017422
29,2019-12-30,-6.891541287534972,-7.158295315999038,-7.047752378090876
30,2019-12-31,,-7.54001430684839,-6.941912232891136
31,2020-01-01,,-6.891541287534972,-6.941912232891136
32,2020-01-02,,,-6.941912232891136
33,2020-01-03,,,-7.158295315999038
34,2020-01-04,-1.4138355597172287,-1.4138355597172287,-7.190542909046034
35,2020-01-05,-8.14960809165437,-7.236536311462971,-7.402010832607018
36,2020-01-06,0.711854858754058,-3.3987158305329026,-3.3987158305329026
37,2020-01-07,-1.7145922237280389,-3.2256182037128047,-2.530350862876356
38,2020-01-08,-6.923208854373906,-1.4111392919490329,-4.324032022080397
39,2020-01-09,1.0393531202305797,-2.1921328392528054,-2.475006763405723
40,2020-01-10,-8.075700021898843,-6.4826545661583,-4.20033842285952
41,2020-01-11,,-3.99063824625013,-5.047367174885161
42,2020-01-12,,-8.075700021898843,-2.2685686270878715
43,2020-01-13,,,-4.40659913767625
44,2020-01-14,,,-6.4826545661583
45,2020-01-15,-0.10872353653019648,-0.10872353653019648,-1.7368031497913257
46,2020-01-16,-10.571321843963439,-6.068891545330752,-8.048292052130222
47,2020-01-17,,-6.068891545330752,-6.068891545330752
48,2020-01-18,-2.0000858774015997,-5.823689461131217,-2.768733403571138
49,2020-01-19,-13.684596763293928,-5.699058717005636,-5.731948081808155
50,2020-01-20,,-5.699058717005636,-5.731948081808155
51,2020-01-21,,-13.684596763293928,-5.731948081808155
52,2020-01-22,,,-8.736114337425366
53,2020-01-23,-8.51707047085608,-8.51707047085608,-8.048137538090444
54,2020-01-24,-11.22088466361097,-9.75328968035775,-9.142962411708089
55,2020-01-25,,-9.75328968035775,-10.496824113847428
56,2020-01-26,-10.179876098544527,-10.410918150283097,-10.038638252693938
57,2020-01-27,-10.52717936062069,-10.418678701447815,-10.304252074382484
58,2020-01-28,-12.660429629700277,-10.530010109711629,-10.403419733957204
59,2020-01-29,,-10.969046216624527,-10.403419733957204
60,2020-01-30,,-12.660429629700277,-10.6595179236411
61,2020-01-31,-11.265334963052169,-11.265334963052169,-10.529989717439463
62,2020-02-01,-9.270508829425623,-9.799799267374906,-10.508571483053153
63,2020-02-02,-8.955172846892413,-9.407948654899212,-10.257789829734696
64,2020-02-03,-6.0517162456798665,-8.513815347739838,-9.278234852333558
65,2020-02-04,-7.144643065350522,-7.831751580397207,-8.378783661548798
66,2020-02-05,-0.5062931397990663,-5.781248171886864,-7.866562397612114
67,2020-02-06,-5.4528110587200045,-5.577949003710734,-7.703502605509492
68,2020-02-07,-6.303375484406975,-3.949685231424187,-7.642368995410982
69,2020-02-08,-9.149301618337658,-7.704758031090652,-7.713045726228721
70,2020-02-09,-5.298765446795693,-7.723945604961951,-7.000350024326542
71,2020-02-10,-6.645017338753147,-7.036126912806654,-6.714196991451082
72,2020-02-11,-5.733709839919802,-6.46799793313647,-6.46799793313647
73,2020-02-12,,-6.233009128880461,-6.8543327577451
74,2020-02-13,2.1861049100442456,-4.631449223971823,-6.5140208010340706
75,2020-02-14,-5.271994050454068,-2.198062490380243,-6.44088711928962
76,2020-02-15,,-2.198062490380243,-6.261103621428289
77,2020-02-16,-6.805788618054244,-6.65663867167846,-6.361572341935938
78,2020-02-17,-6.355220652193045,-6.837394888506155,-6.477056850435167
79,2020-02-18,-4.738629238369036,-6.637252385702403,-6.319240200602924
80,2020-02-19,-1.7702621498665472,-3.7086441530372336,-5.750808930669502
81,2020-02-20,-2.3211807947618435,-1.5188654950009466,-5.737954181451856
82,2020-02-21,-4.633500126690413,-1.9091172473408473,-5.52974165046123
83,2020-02-22,-6.7836990113291815,-5.119685166920459,-5.867567639960649
84,2020-02-23,-2.8835517055799063,-5.878735761972415,-4.833431610181722
85,2020-02-24,-4.389693339060982,-5.98639108633627,-4.036126244443652
86,2020-02-25,-5.124510977832788,-5.491899935049947,-4.601901402247582
87,2020-02-26,1.808191812481662,-4.174161250320423,-4.560697392159158
88,2020-02-27,-5.85218979229916,-5.444784060843136,-5.746010644783481
89,2020-02-28,-1.325126246500925,-2.2432772145565765,-5.574120202815443
90,2020-02-29,-6.35887760130945,-6.216311474868645,-5.7298968197864095
91,2020-03-01,-7.733873682931053,-6.3563749250535855,-6.141437894567126
92,2020-03-02,1.183219229720766,-6.380923952119395,-6.0262027643396125
93,2020-03-03,-5.696989879523067,-6.263349553081415,-6.109748078756187
94,2020-03-04,0.3503412572671664,-1.574351352013714,-6.125860646079779
95,2020-03-05,-5.597346826320415,-5.374816566832934,-5.950301397014037
96,2020-03-06,0.7092431244370799,-1.7363949455865006,-5.987490021641446
97,2020-03-07,-6.8744355670915205,-5.9989319567046095,-5.868226210591808
98,2020-03-08,,-5.97836004591775,-5.113529673871778
99,2020-03-09,0.043784122946866934,-6.241216782269404,-5.477191737488479
100,2020-03-10,-5.991904627958428,-2.953458921214587,-4.402941290244857
101,2020-03-11,-6.53505670272861,-4.247045284327268,-5.927983479009036
102,2020-03-12,-4.698063945710313,-5.8697648817324835,-5.102599072120992
103,2020-03-13,-5.738530270809474,-5.899801129111119,-5.990173982246711
104,2020-03-14,-1.4132859573193408,-5.2245845739013825,-4.804755264933084
105,2020-03-15,-7.031089849021504,-6.069804704616205,-5.623791844945356
106,2020-03-16,-5.993674898228832,-6.231520135775679,-6.070166554655725
107,2020-03-17,0.9904173057140322,-5.961787709897955,-5.802470388630617
108,2020-03-18,-3.584692192195779,-4.7615803040897395,-5.415413750449039
109,2020-03-19,-5.040422403276283,-2.4504989700034696,-5.335897296515001
110,2020-03-20,-5.478500793752242,-5.05019325237693,-5.120052586638649
111,2020-03-21,-7.2029164391843565,-5.688050498950645,-5.583659730220568
112,2020-03-22,,-6.302784109354894,-5.378143556868381
