,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-97.3217697144
1,2019-12-01 00:30:00,-97.2476654053
2,2019-12-01 01:00:00,-97.4260635376
3,2019-12-01 01:30:00,-97.0436248779
4,2019-12-01 02:00:00,-97.4167938232
5,2019-12-01 02:30:00,-98.4817047119
6,2019-12-01 03:00:00,-98.9200820923
7,2019-12-01 03:30:00,-98.8313980103
8,2019-12-01 04:00:00,-98.5444412231
9,2019-12-01 04:30:00,-98.7316131592
10,2019-12-01 05:00:00,-97.1897277832
11,2019-12-01 05:30:00,-84.9873428345
12,2019-12-01 06:00:00,-87.6949081421
13,2019-12-01 06:30:00,-98.9172973633
14,2019-12-01 07:00:00,-97.1348495483
15,2019-12-01 07:30:00,-95.968536377
16,2019-12-01 08:00:00,-95.9111709595
17,2019-12-01 08:30:00,-98.8843994141
18,2019-12-01 09:00:00,-99.3328018188
19,2019-12-01 09:30:00,-99.409362793
20,2019-12-01 10:00:00,-99.4066925049
21,2019-12-01 10:30:00,-99.9927902222
22,2019-12-01 11:00:00,-99.4336853027
23,2019-12-01 11:30:00,-99.5454330444
24,2019-12-01 12:00:00,-99.5575485229
25,2019-12-01 12:30:00,-99.058013916
26,2019-12-01 13:00:00,-99.6952438354
27,2019-12-01 13:30:00,-101.280593872
28,2019-12-01 14:00:00,-101.896530151
29,2019-12-01 14:30:00,-102.518508911
30,2019-12-01 15:00:00,-103.327178955
31,2019-12-01 15:30:00,-103.227409363
32,2019-12-01 16:00:00,-103.038619995
33,2019-12-01 16:30:00,-101.49168396
34,2019-12-01 17:00:00,-90.0420379639
35,2019-12-01 17:30:00,-91.8489685059
36,2019-12-01 18:00:00,-101.384689331
37,2019-12-01 18:30:00,-101.186691284
38,2019-12-01 19:00:00,-100.912597656
39,2019-12-01 19:30:00,-100.551498413
40,2019-12-01 20:00:00,-99.5595169067
41,2019-12-01 20:30:00,-99.2621994019
42,2019-12-01 21:00:00,-97.8602371216
43,2019-12-01 21:30:00,-95.0304489136
44,2019-12-01 22:00:00,-92.5683288574
45,2019-12-01 22:30:00,-91.2484512329
46,2019-12-02 00:00:00,-89.7462539673
47,2019-12-02 00:30:00,-89.8553619385
48,2019-12-02 01:00:00,-91.5404052734
49,2019-12-02 01:30:00,-91.3391189575
50,2019-12-02 02:00:00,-90.2863311768
51,2019-12-02 02:30:00,-91.7070083618
52,2019-12-02 03:00:00,-93.1988220215
53,2019-12-02 03:30:00,-93.0004806519
54,2019-12-02 04:00:00,-91.4156188965
55,2019-12-02 04:30:00,-90.2167510986
56,2019-12-02 05:00:00,-91.816444397
57,2019-12-02 05:30:00,-90.9549255371
58,2019-12-02 06:00:00,-89.987701416
59,2019-12-02 06:30:00,-90.0779800415
60,2019-12-02 07:00:00,-93.126991272
61,2019-12-02 07:30:00,-93.9532241821
62,2019-12-02 08:00:00,-92.8874359131
63,2019-12-02 08:30:00,-93.9703903198
64,2019-12-02 09:00:00,-96.6219863892
65,2019-12-02 09:30:00,-98.21925354
66,2019-12-02 10:00:00,-97.3871459961
67,2019-12-02 10:30:00,-95.9244689941
68,2019-12-02 11:00:00,-98.6163406372
69,2019-12-02 11:30:00,-99.4877700806
70,2019-12-02 12:00:00,-99.7462234497
71,2019-12-02 12:30:00,-100.112991333
72,2019-12-02 13:00:00,-99.8357849121
73,2019-12-02 13:30:00,-100.769348145
74,2019-12-02 14:00:00,-100.788368225
75,2019-12-02 14:30:00,-100.535881042
76,2019-12-02 15:00:00,-100.394317627
77,2019-12-02 15:30:00,-100.6404953
78,2019-12-02 16:00:00,-100.466468811
79,2019-12-02 16:30:00,-100.575927734
80,2019-12-02 17:00:00,-100.877075195
81,2019-12-02 17:30:00,-101.317245483
82,2019-12-02 18:00:00,-101.332603455
83,2019-12-02 18:30:00,-100.466949463
84,2019-12-02 19:00:00,-100.312477112
85,2019-12-02 19:30:00,-100.576805115
86,2019-12-02 20:00:00,-99.8118515015
87,2019-12-02 20:30:00,-99.8247528076
88,2019-12-02 21:00:00,-98.0512161255
89,2019-12-02 21:30:00,-94.8138198853
90,2019-12-02 22:00:00,-91.9734115601
91,2019-12-02 22:30:00,-91.4457550049
92,2019-12-03 00:00:00,
93,2019-12-03 00:30:00,
94,2019-12-03 01:00:00,
95,2019-12-03 01:30:00,
96,2019-12-03 02:00:00,
97,2019-12-03 02:30:00,
98,2019-12-03 03:00:00,
99,2019-12-03 03:30:00,
100,2019-12-03 04:00:00,
101,2019-12-03 04:30:00,
102,2019-12-03 05:00:00,
103,2019-12-03 05:30:00,
104,2019-12-03 06:00:00,
105,2019-12-03 06:30:00,
106,2019-12-03 07:00:00,
107,2019-12-03 07:30:00,
108,2019-12-03 08:00:00,
109,2019-12-03 08:30:00,
110,2019-12-03 09:00:00,
111,2019-12-03 09:30:00,
112,2019-12-03 10:00:00,
113,2019-12-03 10:30:00,
114,2019-12-03 11:00:00,
115,2019-12-03 11:30:00,
116,2019-12-03 12:00:00,
117,2019-12-03 12:30:00,
118,2019-12-03 13:00:00,
119,2019-12-03 13:30:00,
120,2019-12-03 14:00:00,
121,2019-12-03 14:30:00,
122,2019-12-03 15:00:00,
123,2019-12-03 15:30:00,
124,2019-12-03 16:00:00,
125,2019-12-03 16:30:00,
126,2019-12-03 17:00:00,
127,2019-12-03 17:30:00,
128,2019-12-03 18:00:00,
129,2019-12-03 18:30:00,
130,2019-12-03 19:00:00,
131,2019-12-03 19:30:00,
132,2019-12-03 20:00:00,
133,2019-12-03 20:30:00,
134,2019-12-03 21:00:00,
135,2019-12-03 21:30:00,
136,2019-12-03 22:00:00,
137,2019-12-03 22:30:00,
138,2019-12-04 00:00:00,-91.17212677
139,2019-12-04 00:30:00,-90.3473968506
140,2019-12-04 01:00:00,-89.9991531372
141,2019-12-04 01:30:00,-91.1398391724
142,2019-12-04 02:00:00,-90.4146652222
