,time,avg_1,avg_3,avg_7
0,2019-12-01,-9.431491393958442,,
1,2019-12-02,-9.21220407649334,,
2,2019-12-03,-9.074423283711473,,
3,2019-12-04,-10.910609346588082,-9.945736837514639,
4,2019-12-05,-11.5366619795459,-10.712167893369957,
5,2019-12-06,-9.652339903597362,-10.946858379525093,
6,2019-12-07,-6.222767680593749,-9.413515861087125,
7,2019-12-08,-9.02367317375463,-8.193149257163494,-9.60727609045838
8,2019-12-09,-12.732113809561714,-8.649136597818996,-9.862877959181741
9,2019-12-10,-13.83072799817071,-11.242455306142258,-10.421747060680016
10,2019-12-11,-13.675522040743141,-13.508643954009106,-10.560734446748182
11,2019-12-12,-14.604377443189897,-14.28330666230332,-10.761009183237274
12,2019-12-13,-13.972855597234219,-14.42234214125596,-11.100029882202179
13,2019-12-14,,-14.58704872592571,-12.651366491331324
14,2019-12-15,,-13.972855597234219,-13.980167938924271
15,2019-12-16,,,-14.31537962223461
16,2019-12-17,,,-14.42234214125596
17,2019-12-18,,,-14.58704872592571
18,2019-12-19,,,-13.972855597234219
19,2019-12-20,,,
20,2019-12-21,,,
21,2019-12-22,,,
22,2019-12-23,,,
23,2019-12-24,,,
24,2019-12-25,,,
25,2019-12-26,,,
26,2019-12-27,,,
27,2019-12-28,,,
28,2019-12-29,,,
29,2019-12-30,,,
30,2019-12-31,,,
31,2020-01-01,,,
32,2020-01-02,,,
33,2020-01-03,,,
34,2020-01-04,,,
35,2020-01-05,,,
36,2020-01-06,,,
37,2020-01-07,,,
38,2020-01-08,,,
39,2020-01-09,,,
40,2020-01-10,,,
41,2020-01-11,,,
42,2020-01-12,,,
43,2020-01-13,,,
44,2020-01-14,,,
45,2020-01-15,,,
46,2020-01-16,,,
47,2020-01-17,,,
48,2020-01-18,,,
49,2020-01-19,,,
50,2020-01-20,,,
51,2020-01-21,,,
52,2020-01-22,,,
53,2020-01-23,,,
54,2020-01-24,,,
55,2020-01-25,,,
56,2020-01-26,,,
57,2020-01-27,,,
58,2020-01-28,,,
59,2020-01-29,,,
60,2020-01-30,,,
61,2020-01-31,,,
62,2020-02-01,,,
63,2020-02-02,,,
64,2020-02-03,,,
65,2020-02-04,,,
66,2020-02-05,,,
67,2020-02-06,,,
68,2020-02-07,,,
69,2020-02-08,,,
70,2020-02-09,,,
71,2020-02-10,,,
72,2020-02-11,,,
73,2020-02-12,,,
74,2020-02-13,,,
75,2020-02-14,,,
76,2020-02-15,,,
77,2020-02-16,,,
78,2020-02-17,,,
79,2020-02-18,,,
80,2020-02-19,,,
81,2020-02-20,,,
82,2020-02-21,,,
83,2020-02-22,,,
84,2020-02-23,,,
85,2020-02-24,,,
86,2020-02-25,,,
87,2020-02-26,,,
88,2020-02-27,,,
89,2020-02-28,,,
90,2020-02-29,,,
91,2020-03-01,,,
92,2020-03-02,,,
93,2020-03-03,,,
94,2020-03-04,,,
95,2020-03-05,,,
96,2020-03-06,,,
97,2020-03-07,,,
98,2020-03-08,,,
99,2020-03-09,,,
100,2020-03-10,,,
101,2020-03-11,,,
102,2020-03-12,,,
103,2020-03-13,,,
104,2020-03-14,,,
105,2020-03-15,,,
106,2020-03-16,,,
107,2020-03-17,,,
108,2020-03-18,,,
109,2020-03-19,,,
110,2020-03-20,,,
111,2020-03-21,,,
112,2020-03-22,,,
113,2020-03-23,,,
114,2020-03-24,,,
115,2020-03-25,,,
116,2020-03-26,,,
117,2020-03-27,,,
118,2020-03-28,,,
119,2020-03-29,,,
120,2020-03-30,,,
121,2020-03-31,,,
122,2020-04-01,,,
123,2020-04-02,,,
124,2020-04-03,,,
125,2020-04-04,,,
126,2020-04-05,,,
127,2020-04-06,,,
128,2020-04-07,,,
129,2020-04-08,,,
130,2020-04-09,,,
131,2020-04-10,,,
132,2020-04-11,,,
133,2020-04-12,,,
134,2020-04-13,,,
135,2020-04-14,,,
136,2020-04-15,,,
137,2020-04-16,,,
138,2020-04-17,,,
139,2020-04-18,,,
140,2020-04-19,,,
141,2020-04-20,,,
142,2020-04-21,,,
143,2020-04-22,,,
144,2020-04-23,,,
145,2020-04-24,,,
146,2020-04-25,,,
147,2020-04-26,,,
148,2020-04-27,,,
149,2020-04-28,,,
150,2020-04-29,,,
151,2020-04-30,,,
152,2020-05-01,,,
153,2020-05-02,,,
154,2020-05-03,,,
155,2020-05-04,,,
156,2020-05-05,,,
157,2020-05-06,-5.085794832938619,-5.085794832938619,-5.085794832938619
158,2020-05-07,-5.62540372608712,-5.699552722849272,-5.699552722849272
159,2020-05-08,-6.1381033117472095,-6.01828428617921,-6.01828428617921
160,2020-05-09,-7.424362691074697,-6.955537401371524,-6.650986556770386
161,2020-05-10,-4.1743298144089644,-7.35006784709825,-6.617841611425579
162,2020-05-11,,-7.3535346358365645,-6.617841611425579
163,2020-05-12,,-4.1743298144089644,-6.617841611425579
164,2020-05-13,,,-6.915010881610857
165,2020-05-14,-2.757604766256615,-2.757604766256615,-6.975687398916178
166,2020-05-15,-4.242032784768549,-4.048910919800398,-5.691751903424902
167,2020-05-16,-22.081771389702492,-4.112486258420386,-4.127260472109487
168,2020-05-17,,-4.305608123388538,-4.112486258420386
