,time,avg_1,avg_3,avg_7
0,2019-12-01,-24.396755260147867,,
1,2019-12-02,-24.452673241761193,,
2,2019-12-03,-24.46301584664347,,
3,2019-12-04,-24.45886824473937,-24.459006549664206,
4,2019-12-05,-24.447759105149302,-24.455331381132897,
5,2019-12-06,-24.446462781077734,-24.450468905460752,
6,2019-12-07,-24.434260381980653,-24.44334343568983,
7,2019-12-08,-24.45420077902074,-24.448866764694447,-24.451930056143965
8,2019-12-09,-24.456082946117224,-24.45296864465829,-24.452658516231242
9,2019-12-10,-24.454431585247956,-24.45696647059931,-24.45169062598291
10,2019-12-11,-24.425844853034693,-24.444067990973554,-24.447644393380582
11,2019-12-12,-24.40419590232813,-24.42834231448259,-24.4407642118238
12,2019-12-13,-24.40761618305709,-24.4144689478992,-24.43779496791213
13,2019-12-14,-24.402913002053815,-24.407738379570244,-24.436760772460417
14,2019-12-15,-24.42610991025989,-24.419866175331183,-24.429069879701945
15,2019-12-16,-24.429279696601018,-24.423777763959947,-24.42419235329594
16,2019-12-17,-24.402535999068608,-24.421896979798504,-24.418575790515032
17,2019-12-18,-24.39222195038899,-24.407040346357213,-24.4102126546415
18,2019-12-19,-24.36206651450721,-24.39032839325399,-24.40719240041117
19,2019-12-20,-24.4188376749947,-24.400691987720332,-24.409488831693057
20,2019-12-21,-24.414267348122497,-24.41133089065554,-24.41161270720142
21,2019-12-22,-24.384869742004295,-24.411542253171582,-24.406070340753256
22,2019-12-23,-24.42114256718725,-24.40833528729113,-24.403768377293996
23,2019-12-24,-24.404239020834968,-24.401276692131685,-24.404721460980646
24,2019-12-25,-24.386879231043824,-24.4029619782725,-24.40398600421606
25,2019-12-26,-24.409230364216416,-24.40043498465833,-24.406754136588763
26,2019-12-27,-24.433730755576057,-24.413544501478917,-24.411051108049683
27,2019-12-28,-24.45010947538717,-24.432328913205648,-24.41536670938559
28,2019-12-29,-24.463760903326843,-24.446634035321157,-24.42464770205882
29,2019-12-30,-24.44938736088692,-24.454613253001106,-24.43040208152682
30,2019-12-31,-24.447929789600757,-24.454537103994667,-24.435595431368473
31,2020-01-01,-24.43753487309366,-24.44348271705815,-24.440851831985782
32,2020-01-02,-24.448855131144885,-24.445122037385104,-24.44652306608994
33,2020-01-03,-24.419394148780533,-24.436128719001598,-24.44660539819342
34,2020-01-04,-24.412524868875227,-24.427957745635922,-24.4415980278159
35,2020-01-05,-24.431828900244316,-24.42100174009533,-24.437306263317776
36,2020-01-06,-24.40333857463818,-24.414949435584454,-24.43172061568084
37,2020-01-07,-24.394729906794204,-24.404830396474456,-24.423968055412328
38,2020-01-08,-24.400708015025646,-24.39974240232436,-24.415575224711905
39,2020-01-09,-24.43811111671164,-24.41071022707528,-24.41430249397773
40,2020-01-10,-24.42987823136515,-24.42125841791077,-24.41531748952789
41,2020-01-11,-24.410253657878012,-24.429607153618214,-24.41535377411399
42,2020-01-12,-24.42696642452952,-24.4254523924935,-24.416524565935703
43,2020-01-13,-24.422358592743468,-24.42206449156841,-24.419284074587846
44,2020-01-14,-24.413136095229298,-24.420408574933266,-24.420318107218996
