,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-126.799255371
1,2019-12-01 00:30:00,-126.877685547
2,2019-12-01 01:00:00,-126.802581787
3,2019-12-01 01:30:00,-126.84173584
4,2019-12-01 02:00:00,-126.220733643
5,2019-12-01 02:30:00,-126.653533936
6,2019-12-01 03:00:00,-126.714683533
7,2019-12-01 03:30:00,-126.774909973
8,2019-12-01 04:00:00,-126.421089172
9,2019-12-01 04:30:00,-126.288619995
10,2019-12-01 05:00:00,-126.900436401
11,2019-12-01 05:30:00,-126.921897888
12,2019-12-01 06:00:00,-126.978630066
13,2019-12-01 06:30:00,-126.870658875
14,2019-12-01 07:00:00,-126.285888672
15,2019-12-01 07:30:00,-126.617156982
16,2019-12-01 08:00:00,-126.809158325
17,2019-12-01 08:30:00,-126.786071777
18,2019-12-01 09:00:00,-126.857299805
19,2019-12-01 09:30:00,-126.852851868
20,2019-12-01 10:00:00,-126.851394653
21,2019-12-01 10:30:00,-126.90776825
22,2019-12-01 11:00:00,-126.897521973
23,2019-12-01 11:30:00,-126.854866028
24,2019-12-01 12:00:00,-126.69052887
25,2019-12-01 12:30:00,-126.376251221
26,2019-12-01 13:00:00,-125.788368225
27,2019-12-01 13:30:00,-124.710281372
28,2019-12-01 14:00:00,-125.696144104
29,2019-12-01 14:30:00,-126.70501709
30,2019-12-01 15:00:00,-126.709869385
31,2019-12-01 15:30:00,-126.734558105
32,2019-12-01 16:00:00,-126.866020203
33,2019-12-01 16:30:00,-126.875694275
34,2019-12-01 17:00:00,-126.842559814
35,2019-12-01 17:30:00,-126.867393494
36,2019-12-01 18:00:00,-126.7762146
37,2019-12-01 18:30:00,-126.882034302
38,2019-12-01 19:00:00,-126.876251221
39,2019-12-01 19:30:00,-126.84664917
40,2019-12-01 20:00:00,-126.885215759
41,2019-12-01 20:30:00,-126.809967041
42,2019-12-01 21:00:00,-126.87210083
43,2019-12-01 21:30:00,-126.875038147
44,2019-12-01 22:00:00,-126.860267639
45,2019-12-01 22:30:00,-126.814781189
46,2019-12-02 00:00:00,-126.887832642
47,2019-12-02 00:30:00,-126.91544342
48,2019-12-02 01:00:00,-126.936965942
49,2019-12-02 01:30:00,-126.915534973
50,2019-12-02 02:00:00,-126.825447083
51,2019-12-02 02:30:00,-126.870307922
52,2019-12-02 03:00:00,-126.856483459
53,2019-12-02 03:30:00,-126.829269409
54,2019-12-02 04:00:00,-126.838493347
55,2019-12-02 04:30:00,-126.864479065
56,2019-12-02 05:00:00,-126.877372742
57,2019-12-02 05:30:00,-126.934196472
58,2019-12-02 06:00:00,-126.939857483
59,2019-12-02 06:30:00,-126.773651123
60,2019-12-02 07:00:00,-126.671524048
61,2019-12-02 07:30:00,-126.712905884
62,2019-12-02 08:00:00,-126.827201843
63,2019-12-02 08:30:00,-126.843467712
64,2019-12-02 09:00:00,-126.789108276
65,2019-12-02 09:30:00,-126.884437561
66,2019-12-02 10:00:00,-126.946632385
67,2019-12-02 10:30:00,-126.817085266
68,2019-12-02 11:00:00,-126.832702637
69,2019-12-02 11:30:00,-126.900535583
70,2019-12-02 12:00:00,-126.909698486
71,2019-12-02 12:30:00,-126.879333496
72,2019-12-02 13:00:00,-126.887336731
73,2019-12-02 13:30:00,-126.822395325
74,2019-12-02 14:00:00,-126.824302673
75,2019-12-02 14:30:00,-126.909004211
76,2019-12-02 15:00:00,-126.91947937
77,2019-12-02 15:30:00,-126.871055603
78,2019-12-02 16:00:00,-126.749816895
79,2019-12-02 16:30:00,-126.810134888
80,2019-12-02 17:00:00,-126.801864624
81,2019-12-02 17:30:00,-126.866691589
82,2019-12-02 18:00:00,-126.863235474
83,2019-12-02 18:30:00,-126.845909119
84,2019-12-02 19:00:00,-126.891410828
85,2019-12-02 19:30:00,-126.902244568
86,2019-12-02 20:00:00,-126.918952942
87,2019-12-02 20:30:00,-126.922424316
88,2019-12-02 21:00:00,-126.881057739
89,2019-12-02 21:30:00,-126.867416382
90,2019-12-02 22:00:00,-126.891067505
91,2019-12-02 22:30:00,-126.923271179
92,2019-12-03 00:00:00,-126.870605469
