,time,avg_1,avg_3,avg_7
0,2019-12-01,-1.805797615044963,,
1,2019-12-02,-5.035475376233359,,
2,2019-12-03,-3.6541178235323066,,
3,2019-12-04,-3.8932159021280905,-4.3946145985914855,
4,2019-12-05,-4.756936016496695,-4.277757721267364,
5,2019-12-06,-3.9433015628785593,-4.047268955103587,
6,2019-12-07,-4.706086631482007,-4.266255148542564,
7,2019-12-08,-4.765355344068371,-4.3186947193684055,-4.374930843867337
8,2019-12-09,-3.1782464224301985,-4.276369600438558,-4.133080523617429
9,2019-12-10,-3.166374752612866,-3.6091654552086854,-4.07345922399423
10,2019-12-11,-5.213397082957263,-3.855787782752434,-4.227865910911554
11,2019-12-12,-4.886297577724708,-4.746821967070516,-4.305338285381544
12,2019-12-13,-4.772646763102637,-5.000035693705086,-4.555147427600948
13,2019-12-14,-5.595145506486412,-5.104204023475501,-4.8189414271917395
14,2019-12-15,-7.580541751368452,-5.919137605625099,-5.329547094772546
15,2019-12-16,-7.034780371895019,-6.43769001470503,-5.6962613557817106
16,2019-12-17,-9.621999196686101,-7.933511072281792,-6.037866787181931
17,2019-12-18,-6.253724554512404,-7.285812616480528,-6.1432867289219795
18,2019-12-19,-5.071114868511162,-6.861821059689548,-6.154965434154045
19,2019-12-20,-6.115758110216034,-5.808328669305217,-6.399208885446475
20,2019-12-21,-7.029224586843123,-6.293944458795538,-7.079544527188226
21,2019-12-22,-7.759189088984711,-6.847262946380522,-7.04401351690395
22,2019-12-23,-7.005589407348588,-6.912903838415585,-6.806805540896897
23,2019-12-24,-6.335067817723469,-6.4586429387184054,-6.374212806352445
24,2019-12-25,-5.2981716683254385,-6.215783500670644,-6.34547356878006
25,2019-12-26,-5.196994450495263,-5.933641518314184,-6.311438839348596
26,2019-12-27,-5.455452850933184,-5.160698749552631,-6.285746283854821
27,2019-12-28,-7.532342810600272,-6.287779579170828,-6.373151903840823
28,2019-12-29,-7.652157780196597,-7.213728672708274,-6.644439226510975
29,2019-12-30,-5.3795287029986945,-7.113430345605638,-6.51016576662906
30,2019-12-31,-2.1176543691529215,-6.2353230957772485,-6.158915650649377
31,2020-01-01,-2.627903100527412,-3.682721679365804,-5.936870292297153
32,2020-01-02,-4.740280420211314,-2.442288743807511,-5.935493607682998
33,2020-01-03,-5.24435911760919,-3.8019424536473627,-5.935851510262337
34,2020-01-04,-6.500726851618465,-5.695413149400777,-5.707061250976542
35,2020-01-05,-7.303839340336671,-6.285850577763916,-4.912675415485057
36,2020-01-06,-5.603483170422925,-6.458229948960253,-4.768802532236582
37,2020-01-07,-4.492385540961907,-5.874913605752848,-5.286174040254759
38,2020-01-08,-4.614870685906818,-5.067394824279676,-5.555416711662316
39,2020-01-09,-4.297669071316925,-4.711388163819061,-5.469987850681484
40,2020-01-10,-4.293775551995789,-4.454058396632345,-5.300700664119204
41,2020-01-11,-5.865318128600368,-4.808214175682505,-5.197380943611225
42,2020-01-12,-6.334407099236917,-5.469223240512865,-5.217401983866023
43,2020-01-13,-3.543157479359106,-5.417497944717253,-5.090295675450715
44,2020-01-14,-4.186495145203636,-5.28531093427798,-5.080012016933691
45,2020-01-15,-5.135261734862903,-4.535201527564893,-5.163430132456601
46,2020-01-16,-5.257047584842058,-4.6868467916245855,-5.223189390556575
47,2020-01-17,-4.406498510228138,-4.61585741465718,-5.131412671815029
48,2020-01-18,-3.336599218585952,-4.159592614698012,-4.866656265341325
