,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-109.970191956
1,2019-12-01 00:30:00,-110.015106201
2,2019-12-01 01:00:00,-110.571556091
3,2019-12-01 01:30:00,-110.046951294
4,2019-12-01 02:00:00,-108.971153259
5,2019-12-01 02:30:00,-107.879600525
6,2019-12-01 03:00:00,-108.466323853
7,2019-12-01 03:30:00,-108.708740234
8,2019-12-01 04:00:00,-108.437835693
9,2019-12-01 04:30:00,-108.543670654
10,2019-12-01 05:00:00,-109.125801086
11,2019-12-01 05:30:00,-105.695404053
12,2019-12-01 06:00:00,-105.678138733
13,2019-12-01 06:30:00,-107.555877686
14,2019-12-01 07:00:00,-108.68686676
15,2019-12-01 07:30:00,-108.363632202
16,2019-12-01 08:00:00,-108.560371399
17,2019-12-01 08:30:00,-106.463363647
18,2019-12-01 09:00:00,-105.488983154
19,2019-12-01 09:30:00,-108.185028076
20,2019-12-01 10:00:00,-109.613243103
21,2019-12-01 10:30:00,-110.038146973
22,2019-12-01 11:00:00,-109.72177887
23,2019-12-01 11:30:00,-109.421295166
24,2019-12-01 12:00:00,-109.346862793
25,2019-12-01 12:30:00,-109.297393799
26,2019-12-01 13:00:00,-110.013031006
27,2019-12-01 13:30:00,-111.042549133
28,2019-12-01 14:00:00,-111.353988647
29,2019-12-01 14:30:00,-111.541145325
30,2019-12-01 15:00:00,-111.437416077
31,2019-12-01 15:30:00,-111.485771179
32,2019-12-01 16:00:00,-112.233779907
33,2019-12-01 16:30:00,-112.934638977
34,2019-12-01 17:00:00,-109.692825317
35,2019-12-01 17:30:00,-109.75138092
36,2019-12-01 18:00:00,-112.686103821
37,2019-12-01 18:30:00,-113.248947144
38,2019-12-01 19:00:00,-113.006240845
39,2019-12-01 19:30:00,-113.023750305
40,2019-12-01 20:00:00,-112.947471619
41,2019-12-01 20:30:00,-111.246810913
42,2019-12-01 21:00:00,-111.792579651
43,2019-12-01 21:30:00,-112.510299683
44,2019-12-01 22:00:00,-111.386077881
45,2019-12-01 22:30:00,-107.44317627
46,2019-12-02 00:00:00,-109.45350647
47,2019-12-02 00:30:00,-109.015670776
48,2019-12-02 01:00:00,-109.370513916
49,2019-12-02 01:30:00,-109.446228027
50,2019-12-02 02:00:00,-108.780693054
51,2019-12-02 02:30:00,-108.786026001
52,2019-12-02 03:00:00,-104.042030334
53,2019-12-02 03:30:00,-104.68183136
54,2019-12-02 04:00:00,-108.97202301
55,2019-12-02 04:30:00,-108.746543884
56,2019-12-02 05:00:00,-108.670578003
57,2019-12-02 05:30:00,-106.493423462
58,2019-12-02 06:00:00,-105.480819702
59,2019-12-02 06:30:00,-99.3604431152
60,2019-12-02 07:00:00,-99.564239502
61,2019-12-02 07:30:00,-108.335510254
62,2019-12-02 08:00:00,-108.500473022
63,2019-12-02 08:30:00,-107.429954529
64,2019-12-02 09:00:00,-106.990524292
65,2019-12-02 09:30:00,-108.625778198
66,2019-12-02 10:00:00,-108.345832825
67,2019-12-02 10:30:00,-109.573486328
68,2019-12-02 11:00:00,-109.969985962
69,2019-12-02 11:30:00,-110.309410095
70,2019-12-02 12:00:00,-111.226493835
71,2019-12-02 12:30:00,-111.554908752
72,2019-12-02 13:00:00,-111.761383057
73,2019-12-02 13:30:00,-111.922088623
74,2019-12-02 14:00:00,-112.114173889
75,2019-12-02 14:30:00,-111.992263794
76,2019-12-02 15:00:00,-112.309043884
77,2019-12-02 15:30:00,-112.317756653
78,2019-12-02 16:00:00,-112.530967712
