,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-93.155456543
1,2019-12-01 00:30:00,-93.4431762695
2,2019-12-01 01:00:00,-93.5269699097
3,2019-12-01 01:30:00,-93.165977478
4,2019-12-01 02:00:00,-94.7122268677
5,2019-12-01 02:30:00,-93.4353408813
6,2019-12-01 03:00:00,-91.6967391968
7,2019-12-01 03:30:00,-93.7661056519
8,2019-12-01 04:00:00,-93.7580413818
9,2019-12-01 04:30:00,-92.3765563965
10,2019-12-01 05:00:00,-92.3919448853
11,2019-12-01 05:30:00,-90.1937713623
12,2019-12-01 06:00:00,-92.1437911987
13,2019-12-01 06:30:00,-94.3955535889
14,2019-12-01 07:00:00,-93.7880401611
15,2019-12-01 07:30:00,-93.4904632568
16,2019-12-01 08:00:00,-92.421546936
17,2019-12-01 08:30:00,-92.1175689697
18,2019-12-01 09:00:00,-92.4797363281
19,2019-12-01 09:30:00,-92.3953323364
20,2019-12-01 10:00:00,-93.6455764771
21,2019-12-01 10:30:00,-94.4492797852
22,2019-12-01 11:00:00,-93.7046127319
23,2019-12-01 11:30:00,-93.3016815186
24,2019-12-01 12:00:00,-93.2393951416
25,2019-12-01 12:30:00,-95.4466781616
26,2019-12-01 13:00:00,-95.7337646484
27,2019-12-01 13:30:00,-99.4219665527
28,2019-12-01 14:00:00,-99.0100708008
29,2019-12-01 14:30:00,-100.10824585
30,2019-12-01 15:00:00,-99.3213653564
31,2019-12-01 15:30:00,-100.33341217
32,2019-12-01 16:00:00,-108.335449219
33,2019-12-01 16:30:00,-108.28842926
34,2019-12-01 17:00:00,-86.6034851074
35,2019-12-01 17:30:00,-88.836227417
36,2019-12-01 18:00:00,-105.102157593
37,2019-12-01 18:30:00,-107.085777283
38,2019-12-01 19:00:00,-110.476722717
39,2019-12-01 19:30:00,-108.325782776
40,2019-12-01 20:00:00,-105.2394104
41,2019-12-01 20:30:00,-103.705505371
42,2019-12-01 21:00:00,-101.283454895
43,2019-12-01 21:30:00,-101.078941345
44,2019-12-01 22:00:00,-101.00643158
45,2019-12-01 22:30:00,-97.3290634155
46,2019-12-02 00:00:00,-94.1794204712
47,2019-12-02 00:30:00,-93.9400100708
48,2019-12-02 01:00:00,-91.5077438354
49,2019-12-02 01:30:00,-91.9259033203
50,2019-12-02 02:00:00,-94.0177993774
51,2019-12-02 02:30:00,-93.5507278442
52,2019-12-02 03:00:00,-93.0434646606
53,2019-12-02 03:30:00,-93.0761947632
54,2019-12-02 04:00:00,-92.5728530884
