,time,avg_1,avg_3,avg_7
0,2019-12-01,-1.6140414603071451,,
1,2019-12-02,-3.248730193401908,,
2,2019-12-03,-2.846351099694311,,
3,2019-12-04,-2.126352152129269,-3.1748396591037724,
4,2019-12-05,-3.7986075762920954,-3.3085739182774496,
5,2019-12-06,-3.0647091566711846,-3.2034268564774555,
6,2019-12-07,-4.046269179706061,-3.4657560025163265,
7,2019-12-08,-4.991676485425028,-3.8863835399509936,-3.5618028614536916
8,2019-12-09,-3.3765687507753426,-4.3127368813276314,-3.4645268901256183
9,2019-12-10,-3.4750698436217804,-4.017303664002819,-3.536316492261037
10,2019-12-11,-3.9335637340754546,-3.5379682770266747,-3.6930728339802403
11,2019-12-12,-3.177683721885744,-3.5654878188155505,-3.6194970021619097
12,2019-12-13,-2.9534421643686524,-3.4556513760675704,-3.6981503555624897
13,2019-12-14,-2.7001722433024544,-3.0902549976448084,-3.6113480434537992
14,2019-12-15,-2.074198492973937,-2.928419676357025,-3.189820139245893
15,2019-12-16,-1.773852894386657,-2.446046923652003,-3.1185159049294224
16,2019-12-17,-2.043962503712277,-1.8250141013759615,-2.9458217765147796
17,2019-12-18,-2.952667187769323,-2.3662536277736876,-2.8445103088547197
18,2019-12-19,-0.7928469196458728,-1.6723748286317088,-2.2750978167176616
19,2019-12-20,-1.706778917687444,-1.2437159715828427,-1.7441235292289672
20,2019-12-21,-5.783081651878851,-2.040585956128829,-2.1824752364597075
21,2019-12-22,-4.757227396310143,-3.8736571610020154,-2.957414659326419
22,2019-12-23,-3.094516027318109,-4.336367879857616,-3.34163056560461
23,2019-12-24,-2.684254408685526,-3.597398461135422,-3.1154531391082485
24,2019-12-25,-3.3526327188637612,-3.0632165262386715,-3.1190566008226552
25,2019-12-26,-3.2277180316710505,-3.0084202414450942,-3.510485799884593
26,2019-12-27,-2.269822004588814,-3.208456033021293,-3.7300346767204866
27,2019-12-28,-3.9902133944375113,-3.5685116021829435,-3.476749868060351
28,2019-12-29,-6.8743251789539945,-4.537778048327058,-3.7961173522738125
29,2019-12-30,-3.412936487807686,-4.807022590362483,-3.8293863332953024
30,2019-12-31,-0.5869006158218835,-3.7768544327053504,-3.657136748126788
31,2020-01-01,-3.0599459537579023,-1.9354892342703354,-3.693445090102109
32,2020-01-02,-1.9481285923815141,-1.585863276564937,-3.2884729432470694
33,2020-01-03,-2.356187524169275,-2.0101306496944034,-3.187062713702103
34,2020-01-04,-5.650391335923356,-2.551248085862664,-3.32820280123621
35,2020-01-05,-5.108441216045697,-4.455906381280476,-2.743610693843517
36,2020-01-06,-1.7583568116886306,-4.155892981542064,-2.5265331634548054
37,2020-01-07,-1.0395292695249225,-2.2618418690304023,-2.4393959667567717
38,2020-01-08,-2.1177726931417062,-1.5991670320620488,-2.2491096581360956
39,2020-01-09,-2.4969416964960858,-1.7029560620260373,-2.3326450044634255
40,2020-01-10,-3.0264713920066932,-2.4763396992458535,-2.634224089098669
41,2020-01-11,-5.027305005654592,-3.7898170114347525,-2.841484223658276
42,2020-01-12,-5.332259793909864,-4.481881034264744,-3.0858501613144953
43,2020-01-13,-3.706309290656865,-4.921677103643708,-3.2489709205087536
44,2020-01-14,-2.1104548064774304,-3.8977130575249976,-3.4317333011201896
45,2020-01-15,-1.7423961574549822,-2.3597895277565355,-3.352140521497071
46,2020-01-16,-1.7460641558473236,-1.8801261629656485,-3.3338233207117285
47,2020-01-17,-0.7037872063794839,-1.4842420942963428,-2.9720245717864766
48,2020-01-18,-0.13481027905674778,-0.8883873080780273,-2.4004620350277723
49,2020-01-19,-2.3121208198194965,-0.839925129208079,-2.067129390839095
50,2020-01-20,-2.349510629882778,-1.7184668018041818,-1.708711717055056
51,2020-01-21,-4.896244834580084,-3.209488235463943,-1.7851972226496011
52,2020-01-22,-1.5925934270874607,-2.686575732287021,-1.6853345677402434
53,2020-01-23,-2.311959516179865,-2.723294929328894,-2.017938277965631
54,2020-01-24,-2.6098676866311474,-2.338570557280308,-2.4741847432254227
55,2020-01-25,-0.8607986253999179,-2.2297993911517575,-2.448198886533254
56,2020-01-26,-1.742286728980092,-2.134359222610953,-2.315582469538579
57,2020-01-27,-2.2714274397019225,-1.9107214392864211,-2.3075882911844787
58,2020-01-28,-3.3157298110983695,-2.4768495463188627,-2.2964757884512745
59,2020-01-29,-3.6134125251535694,-2.9899940728202337,-2.4447855815910775
60,2020-01-30,-5.115326684040154,-3.775713876355575,-2.621904498092685
61,2020-01-31,-2.4242795067859286,-4.1011936166853475,-2.7051984268781117
62,2020-02-01,-4.300674055640238,-4.645789124816542,-3.1892761440720725
63,2020-02-02,-0.30975275334257285,-2.140657645120003,-3.200907932543141
64,2020-02-03,-0.3750543898474817,-0.7350504870672311,-3.0110366228465812
