,time,avg_1,avg_3,avg_7
0,2019-12-01,-5.409203176800236,,
1,2019-12-02,-6.6975517319526805,,
2,2019-12-03,-7.571913789741497,,
3,2019-12-04,-7.997128139569758,-7.537919101703128,
4,2019-12-05,-8.6750645999004,-8.146275289445565,
5,2019-12-06,-7.8588011274616045,-8.193583010882135,
6,2019-12-07,-7.767997345929034,-8.092698640332001,
7,2019-12-08,-7.972423647756788,-7.923401482801711,-7.863206353706826
8,2019-12-09,-7.95403931277917,-7.9610442262633345,-8.027687392465749
9,2019-12-10,-7.949487524889125,-8.031371847543204,-8.064036984807904
10,2019-12-11,-8.255520027672452,-8.015708724635488,-8.066918239871125
11,2019-12-12,-7.517010960217583,-7.780548586303214,-7.893833302289819
12,2019-12-13,-7.645160124980248,-7.580959203020383,-7.800824066909722
13,2019-12-14,-7.508247018440989,-7.446669279788549,-7.730914945451086
14,2019-12-15,-7.013251331167373,-7.387070026727745,-7.666138754709151
15,2019-12-16,-7.828535479283457,-7.462649310932026,-7.640201681598067
16,2019-12-17,-8.128639554975646,-7.69830546693565,-7.573158696824647
17,2019-12-18,-8.205976519391156,-8.012918468764573,-7.604149449483645
18,2019-12-19,-7.610243986160737,-7.991779410900812,-7.614140868910432
19,2019-12-20,-7.931413550024233,-7.926729933763684,-7.737725631129229
20,2019-12-21,-7.770485137915468,-7.753769698703636,-7.78782408994316
21,2019-12-22,-7.66126351056126,-7.825491196118725,-7.80899319196564
22,2019-12-23,-7.772002368435215,-7.7647954271643265,-7.834679415509823
23,2019-12-24,-7.275036091872663,-7.526219883139761,-7.773300045424643
24,2019-12-25,-7.90252704475494,-7.661587929835759,-7.687670216390554
25,2019-12-26,-8.196919646915873,-7.764124633345233,-7.804638039339324
26,2019-12-27,-7.892824704135635,-7.978672931154256,-7.814701584014976
27,2019-12-28,-8.80122940512657,-8.380427888851234,-7.959157991739345
28,2019-12-29,-8.54532656084148,-8.486977607374193,-8.078078878203172
29,2019-12-30,-7.98121455228086,-8.535079188220077,-8.185321827408861
30,2019-12-31,-8.575150116792765,-8.373648114035321,-8.354123256180756
31,2020-01-01,-8.104180231275956,-8.193082659911587,-8.362199745027496
32,2020-01-02,-7.7370436670077565,-8.116812456114873,-8.32066782245723
33,2020-01-03,-7.326181089159573,-7.786400747400652,-8.297245985534762
34,2020-01-04,-7.558223182043705,-7.545087139598164,-8.053442948730224
35,2020-01-05,-7.509047714797953,-7.507230331442375,-7.871799756319192
36,2020-01-06,-7.139786488542114,-7.439990711450662,-7.774719728655548
37,2020-01-07,-7.369947835719463,-7.359300451922221,-7.56361033261362
38,2020-01-08,-7.313661722606226,-7.218863318455516,-7.4073894180322375
39,2020-01-09,-7.937128682774963,-7.590239095660791,-7.455162150012734
40,2020-01-10,-7.965956158949334,-7.9300022444484854,-7.613850441975046
41,2020-01-11,-7.655808856902879,-7.902806590321098,-7.620886555178851
42,2020-01-12,-8.086907819415995,-7.87255683084946,-7.71062800571003
43,2020-01-13,-7.662009992586027,-7.777701323508415,-7.753421398169883
44,2020-01-14,-8.171456250959732,-7.965331105441117,-7.915865788984901
45,2020-01-15,-7.649855007851281,-7.912598389338106,-7.930207353684315
46,2020-01-16,-7.388227786466894,-7.8522341654986,-7.822492075435179
47,2020-01-17,-7.49828352468495,-7.447858624453257,-7.7152670372130645
48,2020-01-18,-7.5013213560536744,-7.433923715298989,-7.67999730163229
49,2020-01-19,-7.684104108394419,-7.574447514631033,-7.6136632436849165
50,2020-01-20,-8.219913739636981,-7.694904698148997,-7.637754622615515
51,2020-01-21,-8.24474986725979,-8.043906139935336,-7.623545945583598
52,2020-01-22,-7.538348675537568,-8.038911778362476,-7.633262730486027
53,2020-01-23,-7.445932619901654,-7.860232077287843,-7.655332194625872
54,2020-01-24,-8.588999997125077,-8.078647598905109,-7.963700053756719
55,2020-01-25,-9.257310864299946,-8.52380482501634,-8.255514442521896
56,2020-01-26,-9.138932987619214,-9.044495402419912,-8.434842211751373
57,2020-01-27,-8.459794086464875,-9.06236831245542,-8.436185917938124
58,2020-01-28,-8.642027280861619,-8.818398299419478,-8.473730054899734
59,2020-01-29,-7.512468031566117,-8.225960417448329,-8.44228681009807
60,2020-01-30,-7.3954962605114325,-7.9205811827657575,-8.491854199695425
61,2020-01-31,-7.517225024944563,-7.591777029695206,-8.320061257624687
62,2020-02-01,-7.971138874379565,-7.599907443982645,-8.126049015789798
63,2020-02-02,-8.009870141166894,-7.78218137133784,-7.934337945444302
64,2020-02-03,-7.50451287494675,-7.7424099214998074,-7.76894489279833
65,2020-02-04,-7.363704618936073,-7.600075768378563,-7.63797716130576
66,2020-02-05,-7.200900853623323,-7.292289533521476,-7.55884448006853
67,2020-02-06,-7.293276080010355,-7.289805304453977,-7.474681133874476
68,2020-02-07,-7.4116136089133065,-7.278299832283583,-7.440422307512938
69,2020-02-08,-7.187587627677073,-7.319953279677233,-7.375779485886874
70,2020-02-09,-7.123706021269327,-7.295005738221278,-7.276414175509764
71,2020-02-10,-7.264510232855887,-7.164819155119287,-7.268818585953849
72,2020-02-11,-7.150535752865547,-7.142291709999366,-7.2547410632682405
73,2020-02-12,-7.565561951719168,-7.290275514948859,-7.299183996184095
74,2020-02-13,-7.742164753343604,-7.394085051210972,-7.333767241773432
75,2020-02-14,-6.620507313014807,-7.28833795498111,-7.23002405308051
76,2020-02-15,-6.603327826211342,-6.9320117063086055,-7.151092147763506
77,2020-02-16,-7.303866456941785,-6.86660112137148,-7.188244266123469
78,2020-02-17,-7.173271196083228,-7.037981533889096,-7.202136901600419
79,2020-02-18,-7.830130131321227,-7.430420873368679,-7.296009040165617
80,2020-02-19,-7.065286290710114,-7.4346000942812696,-7.250974660834339
81,2020-02-20,-6.985611851494452,-7.391039131053348,-7.1675338191191456
82,2020-02-21,-6.922828012807675,-7.052754790885687,-7.25820432778083
83,2020-02-22,-7.174390341344324,-7.146971763344769,-7.331034281705264
84,2020-02-23,-7.678584647900866,-7.424947442102734,-7.379877240890146
85,2020-02-24,-6.423478135866345,-7.137818499197105,-7.281849088595667
86,2020-02-25,-6.093414246223612,-6.7108711208110154,-6.892995501390482
87,2020-02-26,-5.963351980497569,-6.213418552385429,-6.707511277602806
88,2020-02-27,-6.327068998357668,-6.148983439987086,-6.586541417298946
89,2020-02-28,-7.232475252792756,-6.317401998183915,-6.602263761919049
90,2020-02-29,-7.358813389712992,-6.934764503277553,-6.649534698518232
91,2020-03-01,-7.137937327704089,-7.329344778652137,-6.587518430541456
92,2020-03-02,-7.702446940052251,-7.449367862430354,-6.725104064286641
93,2020-03-03,-7.109723831073955,-7.355131438310483,-6.950854696388939
94,2020-03-04,-6.610786291118766,-7.004714839163212,-7.062548804766932
95,2020-03-05,-6.365021524151543,-6.515200094198062,-6.910535614519056
96,2020-03-06,-5.844632062513373,-6.3428759866443,-6.6745476245065225
97,2020-03-07,-6.179537492947257,-6.284164480963729,-6.552180421509625
98,2020-03-08,-6.802072698704428,-6.339720578578301,-6.484602804600703
99,2020-03-09,-6.368851192748449,-6.424159811125356,-6.40864247944939
100,2020-03-10,-7.067856415268996,-6.6254089420994235,-6.430000994549245
101,2020-03-11,-7.566037073310122,-6.937109874336234,-6.5207620209106825
102,2020-03-12,-6.94585224596658,-7.256278323207776,-6.622477228253035
103,2020-03-13,-6.4331447508695305,-7.072871576640659,-6.708457476305067
104,2020-03-14,-7.340686741248662,-6.952096040511502,-6.898516021097736
105,2020-03-15,-6.626340889107,-6.80912739689454,-6.884408069050016
106,2020-03-16,-5.930302528216745,-6.6061080673395525,-6.867431284124372
107,2020-03-17,-7.362111218711795,-6.568056357280344,-6.88062645190856
108,2020-03-18,-7.384499420672525,-6.941906541432928,-6.8703140798635465
109,2020-03-19,-8.0609056506199,-7.575330639862229,-7.110746006863275
110,2020-03-20,-7.544542877939727,-7.598402539237857,-7.267044054045955
111,2020-03-21,-7.525139833779837,-7.741190532647345,-7.293070681898182
112,2020-03-22,-7.428118161162933,-7.6120229476027275,-7.414849905117004
113,2020-03-23,-7.807698789023846,-7.650184338149904,-7.5773994505083655
114,2020-03-24,-7.297153125914813,-7.656923572605901,-7.608585971737685
115,2020-03-25,-7.965281224403077,-7.778999963481694,-7.724272391629639
116,2020-03-26,-7.47248646510575,-7.711813883700795,-7.671810554496912
117,2020-03-27,-7.178376971426127,-7.648564456721185,-7.646875916644332
118,2020-03-28,-7.852206239808919,-7.510570819337024,-7.664567695035351
119,2020-03-29,-7.157606725036244,-7.364151237048049,-7.6105719683264
120,2020-03-30,-6.94577472816317,-7.270048374694346,-7.48440841496421
121,2020-03-31,-7.3646521658003214,-7.156060316983034,-7.476166586918088
122,2020-04-01,-7.0370326388881015,-7.085823020760193,-7.308831833589816
123,2020-04-02,-7.237608761259615,-7.265627837458699,-7.284238177811857
124,2020-04-03,-7.730080834609953,-7.28893142360416,-7.300904506352021
125,2020-04-04,-7.781841063336637,-7.423339982774729,-7.295777064515645
126,2020-04-05,-7.57107688632256,-7.4644158502795985,-7.323970724300545
127,2020-04-06,-7.436619312775809,-7.446526184821449,-7.377419685639501
128,2020-04-07,-6.847287343041051,-7.352346093520484,-7.360814986177303
129,2020-04-08,-6.514370509201654,-7.001921694382406,-7.328196167005198
130,2020-04-09,-6.493947889188793,-6.66985717125289,-7.257668443806586
131,2020-04-10,-7.17222157607279,-6.750922501416073,-7.202008058291404
132,2020-04-11,-7.7461059320047685,-7.027634302893614,-7.161018760341238
