,time,avg_1,avg_3,avg_7
0,2019-12-01,-6.2745864752788245,,
1,2019-12-02,-7.109432255949454,,
2,2019-12-03,-7.426189011818881,,
3,2019-12-04,-6.810786235898888,-7.029566575515158,
4,2019-12-05,-6.360018416335871,-6.818400956552996,
5,2019-12-06,-6.475935489556138,-6.562380843996439,
6,2019-12-07,-6.064836792806216,-6.310483629366913,
7,2019-12-08,-7.740832226940121,-6.761957018563111,-6.831119131292843
8,2019-12-09,-6.520952549288258,-6.895121851333439,-6.786538809655991
9,2019-12-10,-4.518795057790083,-6.607242850414031,-6.514942852367239
10,2019-12-11,-5.598787666479986,-5.7295353689829405,-6.417708392968922
11,2019-12-12,-6.7423557612227185,-5.886446714322376,-6.440324636480886
12,2019-12-13,-6.173673640368077,-6.368715613808177,-6.435709152322255
13,2019-12-14,-6.481579050622178,-6.493394965228259,-6.510442051565545
14,2019-12-15,-7.005551231434237,-6.688381543078643,-6.447607255147344
15,2019-12-16,-6.655314270635514,-6.797586879903198,-6.496309479047736
16,2019-12-17,-5.723547214792052,-6.6544093855646285,-6.567319469065502
17,2019-12-18,-2.440189473661958,-6.089830158643418,-6.531089669896586
18,2019-12-19,,-5.372022306654879,-6.507406699310152
19,2019-12-20,,-2.440189473661958,-6.557209774701287
20,2019-12-21,,,-6.560446886351072
21,2019-12-22,,,-6.089830158643418
22,2019-12-23,,,-5.372022306654879
23,2019-12-24,,,-2.440189473661958
24,2019-12-25,,,
25,2019-12-26,,,
26,2019-12-27,,,
27,2019-12-28,,,
28,2019-12-29,,,
29,2019-12-30,,,
30,2019-12-31,,,
31,2020-01-01,,,
32,2020-01-02,,,
33,2020-01-03,,,
34,2020-01-04,,,
35,2020-01-05,,,
36,2020-01-06,,,
37,2020-01-07,,,
38,2020-01-08,,,
39,2020-01-09,,,
40,2020-01-10,,,
41,2020-01-11,,,
42,2020-01-12,,,
43,2020-01-13,,,
44,2020-01-14,,,
45,2020-01-15,,,
46,2020-01-16,,,
47,2020-01-17,,,
48,2020-01-18,,,
49,2020-01-19,,,
50,2020-01-20,,,
51,2020-01-21,,,
52,2020-01-22,,,
53,2020-01-23,,,
54,2020-01-24,,,
55,2020-01-25,,,
56,2020-01-26,,,
57,2020-01-27,,,
58,2020-01-28,,,
59,2020-01-29,,,
60,2020-01-30,,,
61,2020-01-31,,,
62,2020-02-01,,,
63,2020-02-02,,,
64,2020-02-03,,,
65,2020-02-04,,,
66,2020-02-05,,,
67,2020-02-06,,,
68,2020-02-07,,,
69,2020-02-08,,,
70,2020-02-09,,,
71,2020-02-10,,,
72,2020-02-11,,,
73,2020-02-12,,,
74,2020-02-13,,,
75,2020-02-14,,,
76,2020-02-15,,,
77,2020-02-16,,,
78,2020-02-17,,,
79,2020-02-18,,,
80,2020-02-19,-1.1798136209959795,-1.1798136209959795,-1.1798136209959795
81,2020-02-20,-0.842415243437172,-1.2488800813416794,-1.2488800813416794
82,2020-02-21,-0.06889880268681009,-0.615226722886649,-0.615226722886649
83,2020-02-22,-5.2520168219808205,-2.1854092567347783,-2.0836473849203236
84,2020-02-23,-2.909443138082752,-2.7983395068213954,-2.3121667572618367
85,2020-02-24,-0.6548954836403953,-2.861512741271214,-1.9641971233210465
