time,google
2020-02-15,-10.0
2020-02-16,-22.0
2020-02-17,-17.0
2020-02-18,-15.0
2020-02-19,-12.0
2020-02-20,-15.0
2020-02-21,-12.0
2020-02-22,-17.0
2020-02-23,-15.0
2020-02-24,-14.0
2020-02-25,-12.0
2020-02-26,-11.0
2020-02-27,-4.0
2020-02-28,-14.0
2020-02-29,-16.0
2020-03-01,-11.0
2020-03-02,-14.0
2020-03-03,-15.0
2020-03-04,-16.0
2020-03-05,-18.0
2020-03-06,-9.0
2020-03-07,-18.0
2020-03-08,-16.0
2020-03-09,-14.0
2020-03-10,-18.0
2020-03-11,-12.0
2020-03-12,-15.0
2020-03-13,-12.0
2020-03-14,-25.0
2020-03-15,-13.0
2020-03-16,-13.0
2020-03-17,-15.0
2020-03-18,-15.0
2020-03-19,-21.0
2020-03-20,-12.0
2020-03-21,-23.0
2020-03-22,-22.0
2020-03-23,-19.0
2020-03-24,-19.0
2020-03-25,-17.0
2020-03-26,-20.0
2020-03-27,-17.0
2020-03-28,-34.0
2020-03-29,-24.0
2020-03-30,-20.0
2020-03-31,-17.0
2020-04-01,-6.0
2020-04-02,-26.0
2020-04-03,-31.0
2020-04-04,-33.0
2020-04-05,-28.0
2020-04-06,-21.0
2020-04-07,-22.0
2020-04-08,-21.0
2020-04-09,-23.0
2020-04-10,-17.0
2020-04-11,-32.0
2020-04-12,-33.0
2020-04-13,-21.0
2020-04-14,-20.0
2020-04-15,-18.0
2020-04-16,-20.0
2020-04-17,-15.0
2020-04-18,-24.0
2020-04-19,-25.0
2020-04-20,-21.0
2020-04-21,-23.0
2020-04-22,-23.0
2020-04-23,-26.0
2020-04-24,-21.0
2020-04-25,-31.0
2020-04-26,-31.0
2020-04-27,-22.0
2020-04-28,-20.0
2020-04-29,-18.0
2020-04-30,-15.0
2020-05-01,-16.0
2020-05-02,-25.0
2020-05-03,-21.0
2020-05-04,-19.0
2020-05-05,-19.0
2020-05-06,-17.0
2020-05-07,-18.0
2020-05-08,-9.0
2020-05-09,-20.0
2020-05-10,-19.0
2020-05-11,-17.0
2020-05-12,-19.0
2020-05-13,-15.0
2020-05-14,-18.0
2020-05-15,-11.0
2020-05-16,-25.0
2020-05-17,-21.0
2020-05-18,-20.0
2020-05-19,-23.0
2020-05-20,-18.0
2020-05-21,-23.0
2020-05-22,-21.0
2020-05-23,-28.0
2020-05-24,-17.0
2020-05-25,-16.0
2020-05-26,-19.0
2020-05-27,-19.0
2020-05-28,-22.0
2020-05-29,-11.0
2020-05-30,-17.0
2020-05-31,-15.0
2020-06-01,-17.0
2020-06-02,-17.0
2020-06-03,-14.0
2020-06-04,-16.0
2020-06-05,-8.0
2020-06-06,-16.0
2020-06-07,-19.0
2020-06-08,-18.0
2020-06-09,-16.0
2020-06-10,-13.0
2020-06-11,-15.0
2020-06-12,-9.0
2020-06-13,-13.0
2020-06-14,-15.0
2020-06-15,-14.0
2020-06-16,-14.0
2020-06-17,-13.0
2020-06-18,-16.0
2020-06-19,-14.0
2020-06-20,-13.0
2020-06-21,-15.0
2020-06-22,-14.0
2020-06-23,-12.0
2020-06-24,2.0
2020-06-25,-12.0
2020-06-26,-14.0
2020-06-27,-12.0
2020-06-28,-13.0
2020-06-29,-13.0
2020-06-30,-14.0
2020-07-01,-15.0
2020-07-02,-18.0
2020-07-03,-11.0
2020-07-04,-15.0
2020-07-05,-15.0
2020-07-06,-13.0
2020-07-07,-13.0
2020-07-08,-12.0
2020-07-09,-14.0
2020-07-10,-8.0
2020-07-11,-12.0
2020-07-12,-11.0
2020-07-13,-13.0
2020-07-14,-11.0
2020-07-15,-11.0
2020-07-16,-12.0
2020-07-17,-8.0
2020-07-18,-10.0
2020-07-19,-9.0
2020-07-20,-11.0
2020-07-21,-12.0
2020-07-22,-10.0
2020-07-23,-12.0
2020-07-24,-8.0
2020-07-25,-10.0
2020-07-26,-9.0
2020-07-27,-12.0
2020-07-28,-13.0
