,time,avg_1,avg_3,avg_7
0,2019-12-01,-6.747808108449613,,
1,2019-12-02,-2.8425821704185203,,
2,2019-12-03,0.9247855312160788,,
3,2019-12-04,-0.5719288995062406,-0.28772172849118643,
4,2019-12-05,0.15108711027438695,-0.05302891358369684,
5,2019-12-06,3.172211331066737,0.4576432969591606,
6,2019-12-07,3.7811481979697303,2.239328381316131,
7,2019-12-08,-1.8311387218246822,2.0532363615498186,0.3108044403012482
8,2019-12-09,-6.352379086027068,-1.4329147632189358,0.10431785560713702
9,2019-12-10,-8.471849258983795,-5.428378231888298,-0.68326637834809
10,2019-12-11,-10.27900324608263,-7.988939181643562,-1.230914232968753
11,2019-12-12,-4.725571890255314,-9.41571138597719,-2.494012416841291
12,2019-12-13,,-10.240172575917418,-4.596930069613789
13,2019-12-14,,-4.725571890255314,-6.077755629349093
14,2019-12-15,,,-7.960553660037984
15,2019-12-16,,,-9.41571138597719
16,2019-12-17,,,-10.240172575917418
17,2019-12-18,,,-4.725571890255314
18,2019-12-19,,,
19,2019-12-20,,,
20,2019-12-21,,,
21,2019-12-22,,,
22,2019-12-23,,,
23,2019-12-24,,,
24,2019-12-25,,,
25,2019-12-26,,,
26,2019-12-27,,,
27,2019-12-28,,,
28,2019-12-29,,,
29,2019-12-30,,,
30,2019-12-31,,,
31,2020-01-01,,,
32,2020-01-02,,,
33,2020-01-03,,,
34,2020-01-04,,,
35,2020-01-05,,,
36,2020-01-06,,,
37,2020-01-07,,,
38,2020-01-08,,,
39,2020-01-09,,,
40,2020-01-10,,,
41,2020-01-11,,,
42,2020-01-12,,,
43,2020-01-13,,,
44,2020-01-14,,,
45,2020-01-15,,,
46,2020-01-16,,,
47,2020-01-17,,,
48,2020-01-18,,,
49,2020-01-19,,,
50,2020-01-20,,,
51,2020-01-21,,,
52,2020-01-22,,,
53,2020-01-23,,,
54,2020-01-24,,,
55,2020-01-25,,,
56,2020-01-26,,,
57,2020-01-27,,,
58,2020-01-28,,,
59,2020-01-29,,,
60,2020-01-30,,,
61,2020-01-31,,,
62,2020-02-01,,,
63,2020-02-02,,,
64,2020-02-03,,,
65,2020-02-04,,,
66,2020-02-05,,,
67,2020-02-06,,,
68,2020-02-07,,,
69,2020-02-08,,,
70,2020-02-09,,,
71,2020-02-10,,,
72,2020-02-11,,,
73,2020-02-12,,,
74,2020-02-13,,,
75,2020-02-14,,,
76,2020-02-15,,,
77,2020-02-16,,,
78,2020-02-17,,,
79,2020-02-18,,,
80,2020-02-19,-6.125540406065224,-6.125540406065224,-6.125540406065224
81,2020-02-20,-4.997538418635201,-5.64848500630759,-5.64848500630759
82,2020-02-21,-5.323590011864745,-5.290045293999511,-5.290045293999511
83,2020-02-22,-5.209384030883032,-4.914519441987695,-5.07828388566501
84,2020-02-23,-3.845838922932278,-4.255458741865775,-4.56875100742773
85,2020-02-24,-4.676014450259688,-4.155798622520563,-4.572265974305615
86,2020-02-25,-5.09490252537031,-4.295243724957902,-4.643924113932301
87,2020-02-26,-4.957034878190614,-4.924566073898011,-4.574538419939944
88,2020-02-27,-3.9927586282667846,-4.751129293080546,-4.493622826261086
89,2020-02-28,-4.699543304521213,-4.431635714139398,-4.399286792142048
90,2020-02-29,-5.6957610401332355,-4.674958503587336,-4.484170859930724
91,2020-03-01,-4.181922254804092,-4.476295285453831,-4.512703186228542
92,2020-03-02,0.376891528840493,-2.688023218093414,-3.5580654773349885
93,2020-03-03,-2.6918423506680567,-2.135771226202849,-3.228146471297227
94,2020-03-04,-2.666865743017739,-1.7711894461736024,-2.94427660747502
95,2020-03-05,4.222870218942075,-0.9007429421653946,-2.194612592831269
96,2020-03-06,-1.8938120682737583,0.20910910306928554,-2.1199851350395003
97,2020-03-07,-5.467705534060056,-0.9848235117758387,-2.1225424342020824
98,2020-03-08,-6.372584376316317,-4.693383234137973,-2.2941304901346875
99,2020-03-09,-3.9593823185821595,-5.367615720400064,-2.718574150670209
100,2020-03-10,-0.4216787561111634,-3.386029887918093,-2.5169182105559087
101,2020-03-11,0.014267963406527744,-0.9165823872589027,-1.9496229886568697
102,2020-03-12,-3.4851190726128984,-1.1031566367026078,-2.7768902438796426
103,2020-03-13,-2.6645688297430707,-1.8713029091402011,-2.9038939314179752
104,2020-03-14,0.8723246061947026,-2.120963424086538,-2.134093364386103
105,2020-03-15,-0.8807792169280659,-0.7137621566673752,-1.2340153806669532
106,2020-03-16,-3.5078216801914395,-1.01914464172597,-1.2163837557107928
107,2020-03-17,-3.917227184050402,-2.4758776134296863,-1.798968682300432
108,2020-03-18,-4.146567436251587,-4.025189135808136,-2.496118336309646
109,2020-03-19,-3.955403861129464,-4.063551896540972,-2.7650846556225552
110,2020-03-20,-2.6692574161383287,-3.707781755472968,-2.7295270598208945
111,2020-03-21,-4.87754158818293,-3.6672748600576552,-3.3770874829458855
112,2020-03-22,-5.524922637488352,-3.9508225552528873,-3.9713424037153975
113,2020-03-23,-3.5545942899098573,-4.3899861312311135,-3.8903136377363694
114,2020-03-24,-2.6692773012226105,-3.4134341746180734,-3.6650232813424766
115,2020-03-25,-4.563345499796168,-3.595096439375234,-3.678101831907186
116,2020-03-26,-3.86956449890077,-3.7537094606426344,-3.6762001624402973
117,2020-03-27,-3.2784991032167157,-4.185872071273379,-3.783337175981089
118,2020-03-28,-1.5207944165375897,-2.9778904723642734,-3.4129383607286004
119,2020-03-29,-0.8366368175917541,-1.8681691925399093,-2.766964230662184
120,2020-03-30,-4.0252272689595765,-1.9302279885070956,-2.823046584679902
121,2020-03-31,-3.218668646403085,-2.2757849719385588,-2.919844093666736
122,2020-04-01,-1.8222225029483823,-2.953923904297169,-2.44872994870848
123,2020-04-02,-1.4779280893265938,-1.767684626174061,-2.0626765442185495
124,2020-04-03,-3.5663036450603163,-2.006058524820187,-2.0154383979998234
125,2020-04-04,-2.226829439772429,-1.9225632102660493,-1.931619851371634
126,2020-04-05,-0.3831315482912018,-1.2451404625530684,-1.7343651892046592
127,2020-04-06,-2.8578192577631905,-1.2817670160230814,-1.7065657407617385
128,2020-04-07,-2.305330692781741,-1.5355414184061282,-1.678367694132365
129,2020-04-08,-2.7653550252094403,-2.499283884824501,-1.7994500119482255
130,2020-04-09,-2.26669126149329,-2.3980144778780486,-1.861112745992702
131,2020-04-10,-2.0213090327299277,-2.47317260929858,-1.79141576692819
132,2020-04-11,-4.1542007914971695,-2.9417310919826685,-2.179168636530177
133,2020-04-12,-0.17114551407579412,-2.4930975466902354,-2.50317756531939
134,2020-04-13,-1.0827669814682894,-1.941503966968622,-2.1184016242718475
135,2020-04-14,-3.1654328639337606,-1.9137259583177189,-2.3129795139537155
136,2020-04-15,-3.2430984594146697,-2.3729792793636846,-2.3626006592978475
137,2020-04-16,-4.677880441355377,-3.734396536932839,-2.6321911031088576
138,2020-04-17,-5.184723945341712,-4.425695605196362,-2.8203488635883582
139,2020-04-18,-4.9709740451504,-4.798407617829196,-3.109081368148311
140,2020-04-19,-3.923240204550824,-4.609631624869052,-3.4550238570400373
141,2020-04-20,-3.4382794435046917,-4.281936702458949,-3.949586007703343
142,2020-04-21,-3.635304078965319,-3.638602684639385,-4.297571815520482
143,2020-04-22,-1.4346989235157017,-2.9636725079010837,-4.142999033809875
144,2020-04-23,-0.05355361396893112,-1.6651911917029893,-3.2580067502493075
145,2020-04-24,0.10907779864825849,-0.10367376443401607,-2.563679363878822
146,2020-04-25,-3.87707003433718,-1.109035781958935,-2.247218358634884
147,2020-04-26,-4.6651567101035525,-3.199509728469666,-2.56068066851506
148,2020-04-27,-2.4700737528558854,-4.086537802564615,-2.530914494992463
