,time,avg_1,avg_3,avg_7
0,2019-12-01,-4.106294083692005,,
1,2019-12-02,-5.060484837376875,,
2,2019-12-03,-4.143277944373194,,
3,2019-12-04,-4.184976764792134,-4.1761768946524604,
4,2019-12-05,-5.374748354348708,-4.1973946703744245,
5,2019-12-06,-5.406411594662508,-4.399964731315561,
6,2019-12-07,-4.30368206096189,-4.671079774831661,
7,2019-12-08,-6.703533072760416,-5.760123008310037,-4.61990043165618
8,2019-12-09,-4.514938757617716,-5.454560063692527,-4.622964238939282
9,2019-12-10,-2.9819591219775012,-5.199366730618626,-4.5392884472417165
10,2019-12-11,-2.9919153134252148,-3.4072302986942744,-4.550633153013916
11,2019-12-12,-2.640152199818369,-2.7810209678557114,-4.240904830521385
12,2019-12-13,-2.9300418868035822,-2.7689260095027346,-4.089205599777359
13,2019-12-14,-4.7825944601850185,-3.495174747899551,-4.105464276474634
14,2019-12-15,-4.90424593212951,-4.631449291436494,-3.826593361831654
15,2019-12-16,-3.3838759132090876,-4.678644764303689,-3.680753964246223
16,2019-12-17,-4.2816708959398655,-4.512035884563184,-3.7519909457173855
17,2019-12-18,-3.976692374990737,-3.814680574798991,-3.902612331702806
18,2019-12-19,-4.111870539740174,-4.024478576190405,-4.223712569047424
19,2019-12-20,-3.845824262779768,-4.011519550073114,-4.326862404952812
20,2019-12-21,-5.521219377175021,-4.50689328758087,-4.485155628024223
21,2019-12-22,-4.7936367922509255,-4.612985649274142,-4.314658276734506
22,2019-12-23,-3.1689989416368447,-4.408346835681747,-4.249927520176555
23,2019-12-24,-3.7194371749709316,-3.9976945485890636,-4.121807485291635
24,2019-12-25,-4.117835975837508,-3.717226070581718,-4.069452741086742
25,2019-12-26,-4.721630478564607,-4.002713375443316,-4.163179957468598
26,2019-12-27,-3.928103990954871,-4.058027153790555,-4.113582830526559
27,2019-12-28,-6.912336932215133,-5.821904188363293,-4.603166003153115
28,2019-12-29,-8.009166731103981,-6.844633702464768,-5.192329754513765
29,2019-12-30,-5.572866508624735,-7.163348047797081,-5.649166117531736
30,2019-12-31,-4.418022885574439,-6.696579384611093,-5.820178873306238
31,2020-01-01,-6.07660053305068,-5.614390209070812,-6.170414106355414
32,2020-01-02,-5.126366440115801,-5.467485575783136,-6.185983254306962
33,2020-01-03,-2.72313954109659,-4.808587587651921,-5.874455620612544
34,2020-01-04,-5.645415021248545,-4.491894958420695,-5.327887193418152
35,2020-01-05,-6.631646546985132,-5.052098750782796,-5.1585068426723355
36,2020-01-06,-3.505728304030337,-5.478978772739338,-4.962652967346487
37,2020-01-07,-1.4288996158142238,-4.253420872795962,-4.696839132202741
38,2020-01-08,-2.584032090982401,-2.5281347186669105,-4.134586497426367
39,2020-01-09,-2.7614462150450403,-2.2686845905996584,-3.812834310063704
40,2020-01-10,-3.1093481501235356,-2.6984697250084237,-3.8908742493852024
41,2020-01-11,-5.275498851995846,-3.919826991089746,-3.920530954456098
42,2020-01-12,-5.771265302284556,-5.080117327213049,-3.9628725995508343
43,2020-01-13,-5.966928710582721,-5.561522383197911,-4.113185057571898
44,2020-01-14,-3.866610750748401,-5.287146180502899,-4.3507512749812065
45,2020-01-15,-3.005337896538541,-4.021324181162903,-4.333445447091308
46,2020-01-16,-3.3274579928486583,-3.2439647868049963,-4.389486332770593
47,2020-01-17,-2.3266777589280765,-2.6465879121921247,-4.390908859222361
48,2020-01-18,-3.838766879424635,-2.841183513377653,-4.162894506461235
49,2020-01-19,-5.011451810239393,-4.244976551206255,-4.012047397972151
50,2020-01-20,-4.012665750946758,-4.627989370392394,-3.826371953155405
51,2020-01-21,-5.676280807322072,-4.787078305558884,-3.9947345188652794
52,2020-01-22,-6.032764770703593,-4.921475441297027,-4.4839177613951335
53,2020-01-23,-6.313722273098335,-5.809558620134472,-4.8685540258445625
54,2020-01-24,-7.265932871528956,-6.704014797282839,-5.277302726390765
55,2020-01-25,-7.524901772880811,-7.113879087696801,-5.988643640420274
56,2020-01-26,-7.668686105882718,-7.496171767511896,-6.565128839100882
57,2020-01-27,-8.151380295357331,-7.757003773379061,-7.018622580646533
58,2020-01-28,-7.481815682127606,-7.793662032327673,-7.137088549218153
59,2020-01-29,-8.27826188278936,-8.060170041274386,-7.471412359152038
60,2020-01-30,-7.059952994050035,-7.805403349787503,-7.723628076169238
61,2020-01-31,-4.555472131788672,-7.3539314077946285,-7.541808251563043
62,2020-02-01,-7.082824328005803,-6.6695662322865035,-7.4465758849732575
63,2020-02-02,-6.529309263694217,-6.5842306608926435,-7.231784606602932
64,2020-02-03,-3.6737985336581365,-6.458857044324957,-6.9659265561417065
65,2020-02-04,-4.569585156092788,-5.452130370968149,-6.536397423512488
66,2020-02-05,-5.198812751563784,-5.012543591420166,-5.789421178228004
67,2020-02-06,-5.047120074425424,-5.093835232913554,-5.480810437233648
68,2020-02-07,-5.288767717989768,-5.113203674541454,-5.520463649749885
69,2020-02-08,-5.819719297929192,-5.280261428596527,-5.290300492752845
70,2020-02-09,-6.649099870858151,-5.880278704276052,-5.121670311266587
71,2020-02-10,-5.656848241303133,-5.781912183745024,-5.171527338633896
72,2020-02-11,-5.010017587100225,-5.2395129498697575,-5.185536336665465
73,2020-02-12,-4.789952392301948,-5.016828010751207,-5.153757621833117
74,2020-02-13,-4.705479063597432,-4.925422395761361,-5.142604709747646
