,time,avg_1,avg_3,avg_7
0,2019-12-01,-4.047101384255848,,
1,2019-12-02,-3.5232740148943837,,
2,2019-12-03,-3.4946808832952283,,
3,2019-12-04,-2.7028946252824118,-3.3036800325624824,
4,2019-12-05,-3.5505932138008394,-3.363415761250397,
5,2019-12-06,-3.64238103442092,-3.4674194793492488,
6,2019-12-07,-5.28203622097466,-4.47139963893325,
7,2019-12-08,-5.754331974288141,-5.233945594728394,-4.5575507821557935
8,2019-12-09,-4.51574880078479,-5.475030666075637,-4.629093348745636
9,2019-12-10,-3.698532694081441,-5.068656259637513,-4.592006594609463
10,2019-12-11,-3.741944795622201,-4.058433600168641,-4.681778509817882
11,2019-12-12,-3.3910642180010924,-3.6448719426049916,-4.623598228308984
12,2019-12-13,-2.766864334373506,-3.3516004709418605,-4.597381632367582
13,2019-12-14,-3.6077802390447813,-3.2969557530168707,-4.266548555881614
14,2019-12-15,-5.2064920734837745,-4.317442062769318,-4.037985643859188
15,2019-12-16,-3.198685265907281,-4.536450934471371,-3.8168598961795492
16,2019-12-17,-2.0652645336785547,-4.394941122579018,-3.7153817328917724
17,2019-12-18,-3.4416979890958883,-3.2435478846316856,-3.7623505671192476
18,2019-12-19,-3.405400875193345,-3.2140486081377557,-3.8616325857155744
19,2019-12-20,-3.8722522977541955,-3.8749699706424106,-4.018885787436527
20,2019-12-21,-4.7007891225159595,-4.2159342024682145,-4.206507936285219
21,2019-12-22,-5.061307882233082,-4.811364674786027,-4.295939704437434
22,2019-12-23,-4.069030392212012,-4.819049696264106,-4.4270433194899494
23,2019-12-24,-3.8412269666336356,-4.839730661247097,-4.527253565167262
24,2019-12-25,-4.532560146871592,-4.272594064427948,-4.583650645327386
25,2019-12-26,-4.562483940844998,-4.500775100938819,-4.662028360896807
26,2019-12-27,-4.555457283019566,-4.590446121743957,-4.709003743584568
27,2019-12-28,-5.353028856540467,-4.996811543076126,-4.895955573690876
28,2019-12-29,-5.586989269480135,-5.365346714609707,-5.002198231033877
29,2019-12-30,-4.5739325852463075,-5.418425857989732,-5.009670803480389
30,2019-12-31,-4.260059417204255,-5.0926442721886485,-4.982729977013099
31,2020-01-01,-5.633580797016476,-5.199236442327375,-5.2192467841270025
32,2020-01-02,-4.525475693786269,-5.315856361302965,-5.264799824140134
33,2020-01-03,-3.8095389315379276,-5.306143174722817,-5.267110264885853
34,2020-01-04,-5.121767993792125,-4.655049066274822,-5.146694970340861
35,2020-01-05,-5.566253250373796,-5.255555624631352,-5.205279361972618
36,2020-01-06,-4.515631991692652,-5.289890972944533,-5.22237267895269
37,2020-01-07,-3.033075962429259,-5.1822088402944795,-5.187912754864056
38,2020-01-08,-3.0470101087045687,-3.91391774805041,-4.895155044554687
39,2020-01-09,-3.4158625830724993,-3.1305025167484235,-4.773609353268998
40,2020-01-10,-3.6783667848678228,-3.361018056370053,-4.748038252278127
41,2020-01-11,-3.7033529274343584,-3.6624370641951645,-4.465014440116935
42,2020-01-12,-5.617798191690551,-4.821500094415474,-4.296048365464146
43,2020-01-13,-4.193173368617659,-5.172624493819319,-4.310843501398886
44,2020-01-14,-3.394445813297079,-5.238958098483734,-4.334336180313003
45,2020-01-15,-3.498780312662717,-3.8078742905030993,-4.312588477324775
46,2020-01-16,-3.7518605323658725,-3.582894305357854,-4.351220779672116
47,2020-01-17,-4.19405095847964,-3.96478011142342,-4.460893385329497
48,2020-01-18,-5.168143341105871,-4.50675276312176,-4.701260850783761
49,2020-01-19,-5.207383369487624,-5.078528897327623,-4.579198428599675
50,2020-01-20,-4.185603176342338,-5.111547746723635,-4.48560029827905
51,2020-01-21,-3.7967139372468717,-4.580416241470912,-4.470615100389063
52,2020-01-22,-3.628905214772405,-3.8182730251006016,-4.401956663213575
53,2020-01-23,-5.408786076777622,-4.412859640720767,-4.714774819812282
54,2020-01-24,-5.425064853359968,-5.11078498607439,-4.958157691481463
55,2020-01-25,-5.0989469279661455,-5.373709440859954,-4.924298716259455
56,2020-01-26,-5.926041916568543,-5.608863071247163,-5.12813727770999
57,2020-01-27,-6.058149372447402,-5.832213671026232,-5.484249737321642
58,2020-01-28,-6.101425247743599,-6.020532713720795,-5.704571681480246
59,2020-01-29,-5.652133083367215,-6.020480172665264,-5.833431407585114
60,2020-01-30,-5.038193804335888,-5.727383457439914,-5.783814041957067
61,2020-01-31,-5.122331098029125,-5.275757094273989,-5.781633431251043
62,2020-02-01,-5.583220468744736,-5.2256767572057505,-5.852647540061218
63,2020-02-02,-5.299292034991547,-5.360563640732023,-5.74195479825508
64,2020-02-03,-4.6149926700709765,-5.141079690214682,-5.4030565003975575
65,2020-02-04,-4.473785160146092,-4.769000274312456,-5.109986588883393
66,2020-02-05,-5.10445651665017,-4.675106618882746,-5.02466696660525
67,2020-02-06,-4.978727558602442,-4.802216419787399,-5.018871523611443
68,2020-02-07,-4.951551286915754,-5.053512981215824,-4.9963094323212225
69,2020-02-08,-5.291572595164806,-5.134385564758071,-4.927110277865291
70,2020-02-09,-5.66515819120607,-5.376374724928096,-5.004093825129371
71,2020-02-10,-4.962048098487599,-5.467121012098113,-5.151660263158162
72,2020-02-11,-2.293270813771606,-5.4455070225660975,-5.239906732981219
73,2020-02-12,-1.5628985562891526,-3.9475626751547046,-5.088223428072383
74,2020-02-13,-2.6179280187126888,-3.0369776393607633,-4.8610334396687245
75,2020-02-14,-3.4751641998838205,-3.062339793773653,-4.756886869993757
76,2020-02-15,-4.195045204759152,-3.875566198692694,-4.502788950867354
77,2020-02-16,-5.169686223874036,-4.484440128272553,-4.230422695723737
78,2020-02-17,-5.676634476478856,-5.191684373257951,-4.359097462251472
79,2020-02-18,-5.368416793865267,-5.5283563722751445,-4.5582938971147815
80,2020-02-19,-5.066523621036858,-5.433534489425111,-4.809897481586516
81,2020-02-20,-4.965495712762538,-5.144884508364932,-4.91755958818223
82,2020-02-21,-4.888435409812485,-5.017701911573041,-5.139958888220428
83,2020-02-22,-5.3693763937373475,-5.214545568333363,-5.333020494590299
84,2020-02-23,-5.16009799372287,-5.237679139675367,-5.284261605783423
85,2020-02-24,-4.821065830493057,-5.171615931597757,-5.12867913736022
86,2020-02-25,-2.9111567723350853,-4.6455112455733385,-4.960632532841031
87,2020-02-26,-2.2336330858654496,-3.6960324198684096,-4.792068360003649
88,2020-02-27,-3.5603541443377655,-3.274499429471177,-4.482838536472426
