,time,avg_1,avg_3,avg_7
0,2019-12-01,-6.25127952800858,,
1,2019-12-02,-6.24382811053578,,
2,2019-12-03,-6.237009737718966,,
3,2019-12-04,-6.227936192550942,-6.236112271230957,
4,2019-12-05,-6.219533374215817,-6.229739467422352,
5,2019-12-06,-6.2254974279026865,-6.224841443194619,
6,2019-12-07,-6.243571167346402,-6.229203648259524,
7,2019-12-08,-6.259304590525349,-6.240313752227065,-6.236232077185738
8,2019-12-09,-6.270158039164389,-6.253950425895473,-6.237986955140251
9,2019-12-10,-6.233504081018634,-6.2572384039510265,-6.2380316126745585
10,2019-12-11,-6.226013830745429,-6.251458374050896,-6.240098590385593
11,2019-12-12,-6.363770705062472,-6.2438975779737,-6.244509336524051
12,2019-12-13,-6.278055169491005,-6.248496806471836,-6.251610181115212
13,2019-12-14,-6.238334219968756,-6.2555184034338325,-6.2527350346342665
14,2019-12-15,-6.191785621129017,-6.222650704165725,-6.240345465711362
15,2019-12-16,-6.196707808006964,-6.202250455015361,-6.228308339304839
16,2019-12-17,-6.176675534511993,-6.184625808311855,-6.221086609817857
17,2019-12-18,-6.153591155865471,-6.16392963972198,-6.202930314795532
18,2019-12-19,-6.165352426255153,-6.159694000120715,-6.187329282483357
19,2019-12-20,-6.195983290824444,-6.167212799595288,-6.183708925381227
20,2019-12-21,-6.166816921991923,-6.174257768560924,-6.1735109582498255
21,2019-12-22,-6.147929421725028,-6.169654584605455,-6.1656528761102845
22,2019-12-23,-6.186049889342402,-6.166321877050374,-6.166122464205869
23,2019-12-24,-6.190767269726334,-6.171303967202621,-6.168721953054883
24,2019-12-25,-6.169346727790122,-6.182548691054762,-6.172653475082023
25,2019-12-26,-6.197169270074542,-6.180968416333331,-6.176168983995373
26,2019-12-27,-6.231485356463719,-6.206843571022394,-6.181001927543707
27,2019-12-28,-6.252825572385844,-6.2351416697085655,-6.195372826582953
28,2019-12-29,-6.352366767232948,-6.250023865811351,-6.217864719294987
29,2019-12-30,-6.308539979915474,-6.2643990795873465,-6.2287091069425555
30,2019-12-31,-6.2613136788477375,-6.291096840082291,-6.24068834388503
31,2020-01-01,-6.255606639947865,-6.257404233770747,-6.249247715397808
32,2020-01-02,-6.239352283680221,-6.249974821527947,-6.248935255965999
33,2020-01-03,-6.233751100152311,-6.243571239453006,-6.250185740635591
34,2020-01-04,-6.208255427004762,-6.226779338186273,-6.2472819184581825
35,2020-01-05,-6.176073268292008,-6.203123255756417,-6.232205199526396
36,2020-01-06,-6.174596619396866,-6.183230348363069,-6.226527069314676
37,2020-01-07,-6.188500231766587,-6.178427751657352,-6.217690475661786
38,2020-01-08,-6.242350814415519,-6.208426434578331,-6.2119206575180055
39,2020-01-09,-6.234140793148543,-6.227945541224209,-6.211596907888371
40,2020-01-10,-6.199099614137856,-6.230677564587654,-6.2079042787312595
41,2020-01-11,-6.198949460916303,-6.21853156274888,-6.207241678077173
42,2020-01-12,-6.2288347379422895,-6.216429492053614,-6.217994233607751
43,2020-01-13,-6.24132721355769,-6.230468371514207,-6.227615031878353
44,2020-01-14,-6.246613852519267,-6.2397291765003295,-6.232711678322865
45,2020-01-15,-6.331061716467638,-6.2449060052547,-6.2338050341307465
46,2020-01-16,-6.415367912982583,-6.25731319279989,-6.236526774130802
47,2020-01-17,-6.728732385717727,-6.381636761750365,-6.245448727922807
48,2020-01-18,-6.236502467766936,-6.263721880654032,-6.244947354914971
49,2020-01-19,-6.2313141330510415,-6.2411366455733575,-6.243405553441189
50,2020-01-20,-6.233006806653944,-6.232996163718948,-6.2429171244268105
51,2020-01-21,-6.233928579750884,-6.231737625080824,-6.241796226242559
52,2020-01-22,-6.233222256280894,-6.232381528642871,-6.240422124044159
53,2020-01-23,-6.204421130565032,-6.229544009790119,-6.2365119602481105
