,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-118.149986267
1,2019-12-01 00:30:00,-117.667854309
2,2019-12-01 01:00:00,-122.862243652
3,2019-12-01 01:30:00,-122.815338135
4,2019-12-01 02:00:00,-123.006118774
5,2019-12-01 02:30:00,-122.149360657
6,2019-12-01 03:00:00,-122.636993408
7,2019-12-01 03:30:00,-125.810585022
8,2019-12-01 04:00:00,-126.75592041
9,2019-12-01 04:30:00,-124.429641724
10,2019-12-01 05:00:00,-122.995063782
11,2019-12-01 05:30:00,-122.338729858
12,2019-12-01 06:00:00,-122.396003723
13,2019-12-01 06:30:00,-123.029571533
14,2019-12-01 07:00:00,-122.402137756
15,2019-12-01 07:30:00,-123.106269836
16,2019-12-01 08:00:00,-123.650985718
17,2019-12-01 08:30:00,-124.245941162
18,2019-12-01 09:00:00,-124.797355652
19,2019-12-01 09:30:00,-124.908042908
20,2019-12-01 10:00:00,-125.898536682
21,2019-12-01 10:30:00,-126.538970947
22,2019-12-01 11:00:00,-127.40662384
23,2019-12-01 11:30:00,-128.224502563
24,2019-12-01 12:00:00,-128.096420288
25,2019-12-01 12:30:00,-129.023406982
26,2019-12-01 13:00:00,-130.3487854
27,2019-12-01 13:30:00,-131.571990967
28,2019-12-01 14:00:00,-131.720870972
29,2019-12-01 14:30:00,-132.674926758
30,2019-12-01 15:00:00,-132.199737549
31,2019-12-01 15:30:00,-131.680664062
32,2019-12-01 16:00:00,-132.49559021
33,2019-12-01 16:30:00,-132.342132568
34,2019-12-01 17:00:00,-127.537506104
35,2019-12-01 17:30:00,-128.578201294
36,2019-12-01 18:00:00,-133.059326172
37,2019-12-01 18:30:00,-133.079360962
38,2019-12-01 19:00:00,-132.309020996
39,2019-12-01 19:30:00,-131.539703369
40,2019-12-01 20:00:00,-131.122512817
41,2019-12-01 20:30:00,-129.595199585
42,2019-12-01 21:00:00,-128.665237427
43,2019-12-01 21:30:00,-129.109008789
44,2019-12-01 22:00:00,-128.472076416
45,2019-12-01 22:30:00,-128.103057861
46,2019-12-02 00:00:00,-122.770896912
47,2019-12-02 00:30:00,-122.599311829
48,2019-12-02 01:00:00,-122.690620422
49,2019-12-02 01:30:00,-121.633529663
50,2019-12-02 02:00:00,-120.864891052
51,2019-12-02 02:30:00,-122.076408386
52,2019-12-02 03:00:00,-121.806106567
53,2019-12-02 03:30:00,-122.461830139
54,2019-12-02 04:00:00,-123.746894836
55,2019-12-02 04:30:00,-122.919219971
56,2019-12-02 05:00:00,-120.685348511
57,2019-12-02 05:30:00,-120.956924438
58,2019-12-02 06:00:00,-121.890327454
59,2019-12-02 06:30:00,-121.680656433
60,2019-12-02 07:00:00,-122.145179749
61,2019-12-02 07:30:00,-121.047294617
62,2019-12-02 08:00:00,-120.889030457
63,2019-12-02 08:30:00,-122.600845337
64,2019-12-02 09:00:00,-123.197158813
65,2019-12-02 09:30:00,-122.582427979
66,2019-12-02 10:00:00,-124.893043518
67,2019-12-02 10:30:00,-125.727729797
68,2019-12-02 11:00:00,-125.294914246
69,2019-12-02 11:30:00,-125.414466858
70,2019-12-02 12:00:00,-124.339370728
71,2019-12-02 12:30:00,-124.068054199
72,2019-12-02 13:00:00,-124.701400757
73,2019-12-02 13:30:00,-122.877166748
74,2019-12-02 14:00:00,-121.679771423
75,2019-12-02 14:30:00,-122.403816223
76,2019-12-02 15:00:00,-123.571166992
77,2019-12-02 15:30:00,-124.43888092
78,2019-12-02 16:00:00,-124.648971558
79,2019-12-02 16:30:00,-124.931411743
80,2019-12-02 17:00:00,-124.581420898
81,2019-12-02 17:30:00,-125.161445618
82,2019-12-02 18:00:00,-125.11240387
83,2019-12-02 18:30:00,-124.457946777
84,2019-12-02 19:00:00,-124.774230957
85,2019-12-02 19:30:00,-124.55644989
86,2019-12-02 20:00:00,-124.462097168
87,2019-12-02 20:30:00,-124.603134155
88,2019-12-02 21:00:00,-125.018203735
89,2019-12-02 21:30:00,-124.733482361
90,2019-12-02 22:00:00,-123.5701828
91,2019-12-02 22:30:00,-124.023666382
92,2019-12-03 00:00:00,-120.176101685
93,2019-12-03 00:30:00,-119.911506653
94,2019-12-03 01:00:00,-120.009773254
95,2019-12-03 01:30:00,-121.71723938
96,2019-12-03 02:00:00,-121.031272888
97,2019-12-03 02:30:00,-119.598144531
98,2019-12-03 03:00:00,-119.57244873
99,2019-12-03 03:30:00,-121.642349243
100,2019-12-03 04:00:00,-124.836273193
101,2019-12-03 04:30:00,-122.277282715
102,2019-12-03 05:00:00,-119.528892517
103,2019-12-03 05:30:00,-120.038452148
104,2019-12-03 06:00:00,-120.609710693
105,2019-12-03 06:30:00,-119.228363037
106,2019-12-03 07:00:00,-120.755516052
