,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-127.793449402
1,2019-12-01 00:30:00,-130.177719116
2,2019-12-01 01:00:00,-128.733016968
3,2019-12-01 01:30:00,-129.23475647
4,2019-12-01 02:00:00,-128.685928345
5,2019-12-01 02:30:00,-128.10218811
6,2019-12-01 03:00:00,-128.403381348
7,2019-12-01 03:30:00,-128.965148926
8,2019-12-01 04:00:00,-129.348220825
9,2019-12-01 04:30:00,-129.242279053
10,2019-12-01 05:00:00,-128.134170532
11,2019-12-01 05:30:00,-127.587905884
12,2019-12-01 06:00:00,-128.137176514
13,2019-12-01 06:30:00,-128.976928711
14,2019-12-01 07:00:00,-129.505004883
15,2019-12-01 07:30:00,-129.506515503
16,2019-12-01 08:00:00,-129.863433838
17,2019-12-01 08:30:00,-129.658035278
18,2019-12-01 09:00:00,-130.235458374
19,2019-12-01 09:30:00,-131.524246216
20,2019-12-01 10:00:00,-132.312835693
21,2019-12-01 10:30:00,-132.972717285
22,2019-12-01 11:00:00,-133.060699463
23,2019-12-01 11:30:00,-134.069610596
24,2019-12-01 12:00:00,-134.804916382
25,2019-12-01 12:30:00,-135.349349976
26,2019-12-01 13:00:00,-136.016052246
27,2019-12-01 13:30:00,-137.593826294
28,2019-12-01 14:00:00,-138.311889648
29,2019-12-01 14:30:00,-139.163619995
30,2019-12-01 15:00:00,-139.710861206
31,2019-12-01 15:30:00,-141.220428467
32,2019-12-01 16:00:00,-138.375366211
33,2019-12-01 16:30:00,-137.935699463
34,2019-12-01 17:00:00,-138.351593018
35,2019-12-01 17:30:00,-139.595062256
36,2019-12-01 18:00:00,-140.535232544
37,2019-12-01 18:30:00,-138.313156128
38,2019-12-01 19:00:00,-136.260391235
39,2019-12-01 19:30:00,-136.227157593
40,2019-12-01 20:00:00,-134.71887207
41,2019-12-01 20:30:00,-134.994338989
42,2019-12-01 21:00:00,-134.37449646
43,2019-12-01 21:30:00,-132.228103638
44,2019-12-01 22:00:00,-130.362197876
45,2019-12-01 22:30:00,-127.539268494
46,2019-12-02 00:00:00,-126.921157837
47,2019-12-02 00:30:00,-126.697525024
48,2019-12-02 01:00:00,-127.141365051
49,2019-12-02 01:30:00,-127.925720215
50,2019-12-02 02:00:00,-127.327033997
51,2019-12-02 02:30:00,-126.784362793
52,2019-12-02 03:00:00,-126.613792419
53,2019-12-02 03:30:00,-126.7631073
54,2019-12-02 04:00:00,-126.655273438
55,2019-12-02 04:30:00,-126.676483154
56,2019-12-02 05:00:00,-126.595809937
57,2019-12-02 05:30:00,-126.285346985
58,2019-12-02 06:00:00,-126.270141602
59,2019-12-02 06:30:00,-126.344070435
60,2019-12-02 07:00:00,-126.605232239
61,2019-12-02 07:30:00,-127.143623352
62,2019-12-02 08:00:00,-127.86378479
63,2019-12-02 08:30:00,-128.683883667
64,2019-12-02 09:00:00,-129.135955811
65,2019-12-02 09:30:00,-130.336990356
66,2019-12-02 10:00:00,-130.890991211
67,2019-12-02 10:30:00,-132.32862854
68,2019-12-02 11:00:00,-133.01953125
69,2019-12-02 11:30:00,-133.29737854
70,2019-12-02 12:00:00,-133.318344116
71,2019-12-02 12:30:00,-133.713623047
72,2019-12-02 13:00:00,-135.195114136
73,2019-12-02 13:30:00,-134.766387939
74,2019-12-02 14:00:00,-133.816757202
75,2019-12-02 14:30:00,-136.104217529
76,2019-12-02 15:00:00,-140.541213989
77,2019-12-02 15:30:00,-141.079788208
78,2019-12-02 16:00:00,-139.020599365
79,2019-12-02 16:30:00,-138.171173096
80,2019-12-02 17:00:00,-141.715957642
81,2019-12-02 17:30:00,-143.197570801
82,2019-12-02 18:00:00,-141.923751831
83,2019-12-02 18:30:00,-142.836151123
84,2019-12-02 19:00:00,-137.02961731
85,2019-12-02 19:30:00,-136.266540527
86,2019-12-02 20:00:00,-134.797164917
87,2019-12-02 20:30:00,-133.910064697
88,2019-12-02 21:00:00,-135.70552063
89,2019-12-02 21:30:00,-132.105117798
90,2019-12-02 22:00:00,-130.665313721
91,2019-12-02 22:30:00,-128.293441772
92,2019-12-03 00:00:00,-126.712661743
93,2019-12-03 00:30:00,-127.632026672
94,2019-12-03 01:00:00,-127.163757324
95,2019-12-03 01:30:00,-126.686607361
96,2019-12-03 02:00:00,-126.914558411
97,2019-12-03 02:30:00,-126.097816467
98,2019-12-03 03:00:00,-126.461288452
99,2019-12-03 03:30:00,-127.375198364
100,2019-12-03 04:00:00,-127.849838257
101,2019-12-03 04:30:00,-127.055915833
102,2019-12-03 05:00:00,-125.646148682
103,2019-12-03 05:30:00,-126.50579834
104,2019-12-03 06:00:00,-126.230171204
105,2019-12-03 06:30:00,-125.573616028
106,2019-12-03 07:00:00,-125.968322754
107,2019-12-03 07:30:00,-127.463050842
108,2019-12-03 08:00:00,-127.783164978
109,2019-12-03 08:30:00,-127.323410034
110,2019-12-03 09:00:00,-128.613311768
111,2019-12-03 09:30:00,-130.939926147
112,2019-12-03 10:00:00,-131.782058716
113,2019-12-03 10:30:00,-131.943862915
