,time,avg_1,avg_3,avg_7
0,2019-12-01,-31.83253645672985,,
1,2019-12-02,-32.62806787714955,,
2,2019-12-03,-32.9498954168625,,
3,2019-12-04,-32.808127539738756,-32.75362985711725,
4,2019-12-05,-32.983051783364814,-32.91956992124981,
5,2019-12-06,-32.17293284292939,-32.69414568991031,
6,2019-12-07,-31.01057922598156,-32.24635584555218,
7,2019-12-08,-32.45878456206399,-31.928485382457627,-32.596965172594395
8,2019-12-09,-33.101857946469806,-32.3003467057114,-32.65351187039552
9,2019-12-10,-33.29171587770518,-32.97147266395613,-32.664032380970276
10,2019-12-11,-33.09320791053397,-33.09796725404968,-32.650262991506494
11,2019-12-12,-33.71723927234798,-33.37203049637513,-32.68040004493372
12,2019-12-13,-33.00252929361677,-33.328426671446906,-32.762136313476105
13,2019-12-14,-32.97874560957305,-33.282383914135174,-33.11408504335896
14,2019-12-15,-34.06993712149024,-33.69030835726138,-33.43733595005268
15,2019-12-16,-33.30039521566307,-33.651568049793035,-33.46329596052471
16,2019-12-17,-33.42222412723848,-33.72273237742972,-33.484217046157646
17,2019-12-18,-33.87018402388372,-33.56522511086753,-33.639251329438025
18,2019-12-19,-33.41132653048571,-33.637526960275466,-33.59096202219887
19,2019-12-20,-33.57779241349936,-33.659327508714185,-33.61798084337813
20,2019-12-21,-33.70708281342313,-33.57716242169387,-33.677984766407086
21,2019-12-22,-34.46048884431604,-34.075886427679805,-33.76956305411973
22,2019-12-23,-34.363212843156354,-34.335854624681154,-33.94799757005234
23,2019-12-24,-33.43068329657572,-34.26678841725755,-33.93707471288869
24,2019-12-25,-33.65171880292426,-34.015358504867585,-33.95280874793695
25,2019-12-26,-34.044693291529924,-33.67106202937248,-34.05174960479859
26,2019-12-27,-32.433794749153364,-33.48404466984444,-33.99116994905076
27,2019-12-28,-33.341373282664144,-33.450373498269656,-33.963774345331146
28,2019-12-29,-34.550439459075385,-33.45695087607792,-33.777589059690456
29,2019-12-30,-32.92850832900969,-33.46003849311427,-33.45346636925618
30,2019-12-31,-33.43868727508543,-33.44769590637092,-33.44874400669529
31,2020-01-01,-32.64874343315202,-32.90775860938319,-33.36740028302055
32,2020-01-02,-33.318954160306234,-33.10624444816604,-33.23584070018383
33,2020-01-03,-32.68397680247451,-32.89263738950813,-33.20917431078891
34,2020-01-04,-33.693818730643635,-33.23089392514701,-33.32671836819634
35,2020-01-05,-34.48534184708652,-33.70617556429385,-33.364589923347715
36,2020-01-06,-34.22735042021181,-34.130768168001346,-33.57343703218136
37,2020-01-07,-33.42469064387354,-33.98497662843927,-33.56795898238699
38,2020-01-08,-32.95724474939817,-33.48768407293457,-33.59011539788617
39,2020-01-09,-33.09997928753283,-33.18638699406775,-33.541292896126485
40,2020-01-10,-33.9974677457078,-33.32060840668782,-33.70481534743309
41,2020-01-11,-34.102591919811516,-33.73727887481322,-33.76054351022052
42,2020-01-12,-33.94380698709777,-33.970874207144654,-33.70306228263651
43,2020-01-13,-33.629391526956084,-33.8670215353888,-33.619145039732814
44,2020-01-14,-33.296312342368815,-33.654587059667485,-33.573465424601515
