,time,avg_1,avg_3,avg_7
0,2019-12-01,-26.25861317930214,,
1,2019-12-02,-22.366002857119547,,
2,2019-12-03,-15.026928598316307,,
3,2019-12-04,-14.208416648403555,-15.573035524973287,
4,2019-12-05,-15.462806258934052,-14.901540084797622,
5,2019-12-06,-17.79921744243397,-15.123048794730744,
6,2019-12-07,-15.71438218102609,-15.796406191540704,
7,2019-12-08,-20.05591559890235,-17.638426843695452,-16.26021692392287
8,2019-12-09,-26.017292334201407,-20.30829919596113,-16.51909904561493
9,2019-12-10,-26.865783790514442,-24.155060433486195,-18.245600318152878
10,2019-12-11,-25.56708743703219,-25.771854283985313,-21.327660725986043
11,2019-12-12,-22.00491009909724,-24.461592994256574,-22.487601797436447
12,2019-12-13,-24.4266527237566,-23.66029798779319,-23.224720377865616
13,2019-12-14,-25.56985326843726,-23.652811604935483,-23.98853470265688
14,2019-12-15,-25.858680253379983,-25.083461229244485,-24.746003009211677
15,2019-12-16,-25.883938349081383,-25.826971827979985,-24.78003072022472
16,2019-12-17,-26.953852622914535,-26.18276015695334,-24.801614625315086
17,2019-12-18,-26.056297701819975,-26.30473759621126,-25.05925512466831
18,2019-12-19,-25.38259358593845,-26.169034835185382,-25.64749609763333
19,2019-12-20,-22.13330694688264,-24.549659154398785,-25.321728885321694
20,2019-12-21,-26.80809949521861,-24.952050798472936,-25.651838245475954
21,2019-12-22,-27.74151659869606,-26.33417750747201,-26.106233069858853
22,2019-12-23,-25.809762423807378,-27.16145506423201,-26.177245386595246
23,2019-12-24,-26.287088041467452,-26.96803059736317,-26.110679529626434
24,2019-12-25,-29.289879962796302,-26.935580252366957,-26.351080752877454
25,2019-12-26,-24.283870137465527,-26.219420375284763,-26.292978924589278
26,2019-12-27,-17.61781505018839,-23.36919733554545,-26.150987693733367
27,2019-12-28,-19.61455676143056,-19.80104054922987,-24.780317601463313
28,2019-12-29,-22.81233181126589,-20.463054039377237,-23.67019508449269
29,2019-12-30,-23.75108264274763,-21.98396074834639,-23.435766246471456
30,2019-12-31,-19.547990140682874,-22.801115025463357,-22.30841266172243
31,2020-01-01,-21.01347896863266,-22.334707192670038,-21.713224996666707
32,2020-01-02,-25.533151153334746,-23.378936389769716,-22.110587830549438
33,2020-01-03,-26.808495840759864,-24.56822327273225,-23.334109616233242
34,2020-01-04,-25.97879258651527,-25.940876525600807,-24.248823837481293
35,2020-01-05,-26.091080789299834,-26.19467286214461,-24.849751979121066
36,2020-01-06,-26.766786771097212,-26.22902935052939,-25.215996659732973
37,2020-01-07,-27.045075138269365,-26.470394955058435,-25.65642194190444
38,2020-01-08,-25.283735330166973,-26.168297592325036,-26.102292517142523
39,2020-01-09,-22.976949776378284,-24.325818846867275,-25.737298525485066
40,2020-01-10,-26.10950070349031,-23.984377700842128,-25.62509440162276
41,2020-01-11,-28.515562809466445,-25.71173045308529,-26.056386075691243
42,2020-01-12,-26.59287791898032,-27.161384728185883,-26.109644620989812
43,2020-01-13,-24.85616661545657,-26.744840781824585,-25.782054962374986
44,2020-01-14,-25.751756604489835,-25.746584354079406,-25.57486556795099
45,2020-01-15,-24.28977982192369,-24.883884956457425,-25.410332731652844
46,2020-01-16,-26.785712209939135,-25.436993832518827,-25.96270207437039
47,2020-01-17,-26.993286020769165,-25.703877500609423,-26.130570972037216
48,2020-01-18,-25.80778804345618,-26.386204260470976,-25.646846751001007
49,2020-01-19,-27.508425678677835,-26.726885831662184,-25.799250909989713
50,2020-01-20,-25.88658125846259,-26.363440575659194,-25.853107171391965
51,2020-01-21,-23.59802646496879,-25.418824723766548,-25.54965643073298
52,2020-01-22,-24.880176599067862,-24.52729086090502,-25.698426195559872
53,2020-01-23,-27.952434010362932,-25.398141448852762,-25.86760876932106
54,2020-01-24,-27.61297774222039,-26.84780354968973,-26.145802177889895
55,2020-01-25,-26.831020553850117,-27.221402243320917,-26.41753208703338
56,2020-01-26,-26.714110862228015,-26.896288290403458,-26.412914606276207
57,2020-01-27,-26.880144811319546,-26.78424898493582,-26.513420278305226
58,2020-01-28,-27.714490168866003,-27.112578272763418,-26.963024596550934
59,2020-01-29,-27.990255398904775,-27.563327918634464,-27.2255988513857
60,2020-01-30,-25.845676237031622,-27.323607153848883,-27.096324278709304
61,2020-01-31,-26.691907864084175,-27.01405795611015,-27.03675359495906
62,2020-02-01,-26.69949607695826,-26.25433821838006,-27.061925321192124
63,2020-02-02,-28.063900508965094,-27.324703427297056,-27.30234954464696
64,2020-02-03,-28.652384271332668,-27.818748003176914,-27.408994138710355
65,2020-02-04,-27.867939924909923,-28.06214687214847,-27.415363442880967
66,2020-02-05,-25.38699146838405,-27.46848293836563,-27.128853262593374
67,2020-02-06,-23.792859949598082,-25.957192171560287,-26.863265138666858
68,2020-02-07,-27.389005351531477,-25.872549682871657,-26.961701185398095
69,2020-02-08,-25.43522378080585,-25.651471389276843,-26.800385401944663
70,2020-02-09,-26.11763948706261,-26.303408840617703,-26.4121333671485
71,2020-02-10,-26.523246274884517,-26.072767762972997,-26.25106800780922
72,2020-02-11,-26.724324138220798,-26.23491441218018,-26.089932312111106
73,2020-02-12,-27.43887505970972,-26.7569053256703,-26.189450412371546
74,2020-02-13,-28.113299526287253,-27.412343942679993,-26.564734124557702
75,2020-02-14,-27.050050695090906,-27.555224732919104,-26.52087201779192
76,2020-02-15,-27.50921989709544,-27.582024215931686,-26.861419215179577
77,2020-02-16,-25.56769116500623,-27.095813791591635,-27.089327673511672
78,2020-02-17,-22.07631599383603,-24.76420723830275,-26.451670027098643
79,2020-02-18,-20.063944153797703,-21.76856108854308,-25.94317891956237
80,2020-02-19,-24.56762918364758,-21.666700797696727,-25.447452951908893
81,2020-02-20,-25.64349408371118,-22.938232243608628,-24.75334642893072
82,2020-02-21,-25.316366908291606,-25.2843798096766,-24.06670013981861
83,2020-02-22,-26.782858386975033,-25.98068012003007,-23.785916406933165
84,2020-02-23,-25.55046725518431,-25.93223116777276,-23.9780929527742
85,2020-02-24,-25.228736222685217,-25.76721542565291,-24.905465139085194
86,2020-02-25,-25.69669699062592,-25.34404764745787,-25.5956307270348
87,2020-02-26,-26.715312115456094,-25.74117570896188,-25.82663045296761
88,2020-02-27,-25.796118890940985,-25.80287118023905,-25.724306056985423
89,2020-02-28,-26.412267454808923,-26.04539041524768,-25.906711577351455
90,2020-02-29,-27.536482244577265,-26.08073027625837,-25.804905207592316
91,2020-03-01,-28.376328820280204,-27.363067846706222,-26.59365524543373
92,2020-03-02,-24.332352969382526,-27.028430238195543,-26.511588193212738
93,2020-03-03,-23.965702208408555,-26.07635987936492,-26.097542284559925
94,2020-03-04,-24.674898501298244,-24.3769221613112,-25.829027710439153
95,2020-03-05,-17.986105879089113,-23.132702498932723,-25.256618236319856
96,2020-03-06,-22.753748126860348,-22.45061222975974,-24.581985527954476
97,2020-03-07,-25.71608834799435,-22.54831551836604,-24.051342289854723
98,2020-03-08,-27.58128248704752,-25.758616354275542,-24.006477723383842
99,2020-03-09,-27.200075443445986,-27.4221645951438,-24.182329366338017
100,2020-03-10,-24.864194597590313,-26.658356092186324,-24.178074256268996
101,2020-03-11,-23.5342659492358,-24.106144513223185,-23.993728617110907
102,2020-03-12,-26.46751049672861,-24.214589889233455,-25.02637713089766
103,2020-03-13,-25.874657578359333,-24.931198697159175,-25.438857220781948
104,2020-03-14,-24.251684150034063,-25.508867840974176,-25.308425391032266
