,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-112.786552429
1,2019-12-01 00:30:00,-113.918426514
2,2019-12-01 01:00:00,-114.85559845
3,2019-12-01 01:30:00,-115.082336426
4,2019-12-01 02:00:00,-115.89315033
5,2019-12-01 02:30:00,-116.245704651
6,2019-12-01 03:00:00,-115.986557007
7,2019-12-01 03:30:00,-115.228378296
8,2019-12-01 04:00:00,-114.487998962
9,2019-12-01 04:30:00,-114.214805603
10,2019-12-01 05:00:00,-115.332061768
11,2019-12-01 05:30:00,-114.54763031
12,2019-12-01 06:00:00,-114.675552368
13,2019-12-01 06:30:00,-115.508155823
14,2019-12-01 07:00:00,-116.238708496
15,2019-12-01 07:30:00,-114.430770874
16,2019-12-01 08:00:00,-113.692863464
17,2019-12-01 08:30:00,-115.147247314
18,2019-12-01 09:00:00,-116.403831482
19,2019-12-01 09:30:00,-117.049674988
20,2019-12-01 10:00:00,-118.728675842
21,2019-12-01 10:30:00,-121.393318176
22,2019-12-01 11:00:00,-122.63760376
23,2019-12-01 11:30:00,-123.372756958
24,2019-12-01 12:00:00,-126.87322998
25,2019-12-01 12:30:00,-128.725814819
26,2019-12-01 13:00:00,-130.721923828
27,2019-12-01 13:30:00,-121.348152161
28,2019-12-01 14:00:00,-121.155525208
29,2019-12-01 14:30:00,-132.454040527
30,2019-12-01 15:00:00,-134.567428589
31,2019-12-01 15:30:00,-134.941375732
32,2019-12-01 16:00:00,-133.609008789
33,2019-12-01 16:30:00,-134.907592773
34,2019-12-01 17:00:00,-124.365112305
35,2019-12-01 17:30:00,-123.116844177
36,2019-12-01 18:00:00,-128.957305908
37,2019-12-01 18:30:00,-135.911972046
38,2019-12-01 19:00:00,-136.309249878
39,2019-12-01 19:30:00,-134.93812561
40,2019-12-01 20:00:00,-131.180969238
41,2019-12-01 20:30:00,-120.234809875
42,2019-12-01 21:00:00,-119.120796204
43,2019-12-01 21:30:00,-122.466156006
44,2019-12-01 22:00:00,-118.363731384
45,2019-12-01 22:30:00,-117.246124268
46,2019-12-02 00:00:00,-113.901390076
47,2019-12-02 00:30:00,-114.11214447
48,2019-12-02 01:00:00,-112.878509521
49,2019-12-02 01:30:00,-112.717155457
50,2019-12-02 02:00:00,-114.325370789
51,2019-12-02 02:30:00,-113.644203186
52,2019-12-02 03:00:00,-111.882347107
53,2019-12-02 03:30:00,-112.304115295
54,2019-12-02 04:00:00,-113.400405884
55,2019-12-02 04:30:00,-112.720474243
56,2019-12-02 05:00:00,-113.421226501
57,2019-12-02 05:30:00,-113.939796448
58,2019-12-02 06:00:00,-112.879798889
59,2019-12-02 06:30:00,-112.243553162
60,2019-12-02 07:00:00,-114.463760376
61,2019-12-02 07:30:00,-116.61579895
62,2019-12-02 08:00:00,-117.210540771
63,2019-12-02 08:30:00,-116.964241028
64,2019-12-02 09:00:00,-117.424461365
65,2019-12-02 09:30:00,-117.946182251
66,2019-12-02 10:00:00,-120.98361969
67,2019-12-02 10:30:00,-123.570877075
68,2019-12-02 11:00:00,-120.746612549
69,2019-12-02 11:30:00,-124.538528442
70,2019-12-02 12:00:00,-127.823074341
71,2019-12-02 12:30:00,-128.967422485
72,2019-12-02 13:00:00,-128.709503174
73,2019-12-02 13:30:00,-106.01688385
74,2019-12-02 14:00:00,-102.682678223
75,2019-12-02 14:30:00,-108.211639404
76,2019-12-02 15:00:00,-125.697555542
77,2019-12-02 15:30:00,-124.958526611
78,2019-12-02 16:00:00,-129.665985107
79,2019-12-02 16:30:00,-131.59085083
80,2019-12-02 17:00:00,-131.201095581
