,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-121.442169189
1,2019-12-01 00:30:00,-121.116172791
2,2019-12-01 01:00:00,-121.469818115
3,2019-12-01 01:30:00,-121.624656677
4,2019-12-01 02:00:00,-121.950462341
5,2019-12-01 02:30:00,-122.514320374
6,2019-12-01 03:00:00,-123.433952332
7,2019-12-01 03:30:00,-123.500457764
8,2019-12-01 04:00:00,-122.736976624
9,2019-12-01 04:30:00,-122.436645508
10,2019-12-01 05:00:00,-122.287117004
11,2019-12-01 05:30:00,-120.723121643
12,2019-12-01 06:00:00,-122.152389526
13,2019-12-01 06:30:00,-122.875404358
14,2019-12-01 07:00:00,-123.165382385
15,2019-12-01 07:30:00,-123.264076233
16,2019-12-01 08:00:00,-122.366630554
17,2019-12-01 08:30:00,-123.757492065
18,2019-12-01 09:00:00,-124.96295166
19,2019-12-01 09:30:00,-126.458976746
20,2019-12-01 10:00:00,-126.430854797
21,2019-12-01 10:30:00,-127.027656555
22,2019-12-01 11:00:00,-127.06716156
23,2019-12-01 11:30:00,-128.335296631
24,2019-12-01 12:00:00,-128.268432617
25,2019-12-01 12:30:00,-130.478118896
26,2019-12-01 13:00:00,-131.560821533
27,2019-12-01 13:30:00,-131.833709717
28,2019-12-01 14:00:00,-131.795822144
29,2019-12-01 14:30:00,-130.256347656
30,2019-12-01 15:00:00,-132.685394287
31,2019-12-01 15:30:00,-133.126205444
32,2019-12-01 16:00:00,-133.535888672
33,2019-12-01 16:30:00,-129.577026367
34,2019-12-01 17:00:00,-123.336547852
35,2019-12-01 17:30:00,-125.045387268
36,2019-12-01 18:00:00,-131.723220825
37,2019-12-01 18:30:00,-129.890411377
38,2019-12-01 19:00:00,-128.751693726
39,2019-12-01 19:30:00,-129.282165527
40,2019-12-01 20:00:00,-128.659378052
41,2019-12-01 20:30:00,-119.995651245
42,2019-12-01 21:00:00,-117.794136047
43,2019-12-01 21:30:00,-122.174369812
44,2019-12-01 22:00:00,-121.380409241
45,2019-12-01 22:30:00,-121.175422668
46,2019-12-02 00:00:00,-119.119697571
47,2019-12-02 00:30:00,-121.224517822
48,2019-12-02 01:00:00,-120.910057068
49,2019-12-02 01:30:00,-120.727607727
50,2019-12-02 02:00:00,-120.549827576
51,2019-12-02 02:30:00,-120.244010925
52,2019-12-02 03:00:00,-118.277679443
53,2019-12-02 03:30:00,-118.396125793
54,2019-12-02 04:00:00,-120.208358765
55,2019-12-02 04:30:00,-119.596115112
56,2019-12-02 05:00:00,-119.54006958
57,2019-12-02 05:30:00,-119.399276733
58,2019-12-02 06:00:00,-118.565742493
59,2019-12-02 06:30:00,-118.339332581
60,2019-12-02 07:00:00,-119.673835754
61,2019-12-02 07:30:00,-119.873374939
62,2019-12-02 08:00:00,-119.697273254
63,2019-12-02 08:30:00,-119.602096558
64,2019-12-02 09:00:00,-119.988967896
65,2019-12-02 09:30:00,-121.353103638
66,2019-12-02 10:00:00,-122.918708801
67,2019-12-02 10:30:00,-122.903068542
68,2019-12-02 11:00:00,-123.828071594
69,2019-12-02 11:30:00,-124.813270569
70,2019-12-02 12:00:00,-123.660903931
71,2019-12-02 12:30:00,-124.08908844
72,2019-12-02 13:00:00,-125.662971497
73,2019-12-02 13:30:00,-118.87651825
74,2019-12-02 14:00:00,-116.094909668
75,2019-12-02 14:30:00,-120.089752197
76,2019-12-02 15:00:00,-128.792327881
77,2019-12-02 15:30:00,-121.412246704
78,2019-12-02 16:00:00,-125.591423035
79,2019-12-02 16:30:00,-129.884124756
80,2019-12-02 17:00:00,-131.634429932
81,2019-12-02 17:30:00,-131.97315979
82,2019-12-02 18:00:00,-132.218948364
83,2019-12-02 18:30:00,-132.464675903
84,2019-12-02 19:00:00,-132.255737305
85,2019-12-02 19:30:00,-131.911911011
86,2019-12-02 20:00:00,-131.504333496
87,2019-12-02 20:30:00,-129.536941528
88,2019-12-02 21:00:00,-128.656265259
89,2019-12-02 21:30:00,-125.794319153
90,2019-12-02 22:00:00,-121.897361755
91,2019-12-02 22:30:00,-120.766716003
92,2019-12-03 00:00:00,-121.466766357
93,2019-12-03 00:30:00,-120.838722229
94,2019-12-03 01:00:00,-119.64541626
95,2019-12-03 01:30:00,-119.685127258
96,2019-12-03 02:00:00,-120.341804504
97,2019-12-03 02:30:00,-120.199798584
98,2019-12-03 03:00:00,-120.068031311
99,2019-12-03 03:30:00,-121.981086731
100,2019-12-03 04:00:00,-123.380729675
101,2019-12-03 04:30:00,-121.555854797
102,2019-12-03 05:00:00,-117.63508606
103,2019-12-03 05:30:00,-117.789093018
104,2019-12-03 06:00:00,-121.043815613
105,2019-12-03 06:30:00,-120.503684998
106,2019-12-03 07:00:00,-120.883209229
107,2019-12-03 07:30:00,-120.923934937
108,2019-12-03 08:00:00,-120.982978821
109,2019-12-03 08:30:00,-120.503715515
110,2019-12-03 09:00:00,-120.677375793
111,2019-12-03 09:30:00,-123.169158936
112,2019-12-03 10:00:00,-124.738265991
113,2019-12-03 10:30:00,-124.927192688
114,2019-12-03 11:00:00,-126.756034851
115,2019-12-03 11:30:00,-128.063415527
116,2019-12-03 12:00:00,-128.557815552
117,2019-12-03 12:30:00,-128.980422974
118,2019-12-03 13:00:00,-130.103820801
119,2019-12-03 13:30:00,-131.073989868
120,2019-12-03 14:00:00,-121.590065002
121,2019-12-03 14:30:00,-120.253463745
122,2019-12-03 15:00:00,-130.938705444
123,2019-12-03 15:30:00,-133.571350098
124,2019-12-03 16:00:00,-133.20010376
125,2019-12-03 16:30:00,-129.831008911
126,2019-12-03 17:00:00,-127.760810852
127,2019-12-03 17:30:00,-129.494781494
128,2019-12-03 18:00:00,-132.907302856
129,2019-12-03 18:30:00,-128.823959351
130,2019-12-03 19:00:00,-130.358413696
131,2019-12-03 19:30:00,-129.421264648
132,2019-12-03 20:00:00,-130.174865723
133,2019-12-03 20:30:00,-130.444763184
134,2019-12-03 21:00:00,-127.505447388
135,2019-12-03 21:30:00,-124.911178589
136,2019-12-03 22:00:00,-122.841720581
137,2019-12-03 22:30:00,-121.57673645
138,2019-12-04 00:00:00,-121.726104736
139,2019-12-04 00:30:00,-122.077545166
140,2019-12-04 01:00:00,-121.996879578
141,2019-12-04 01:30:00,-121.451805115
142,2019-12-04 02:00:00,-120.392250061
143,2019-12-04 02:30:00,-120.614379883
144,2019-12-04 03:00:00,-122.175231934
145,2019-12-04 03:30:00,-123.396942139
146,2019-12-04 04:00:00,-123.301399231
147,2019-12-04 04:30:00,-121.783279419
148,2019-12-04 05:00:00,-120.895225525
149,2019-12-04 05:30:00,-120.460220337
150,2019-12-04 06:00:00,-120.687614441
151,2019-12-04 06:30:00,-120.534004211
152,2019-12-04 07:00:00,-120.669158936
153,2019-12-04 07:30:00,-121.00062561
154,2019-12-04 08:00:00,-118.990997314
155,2019-12-04 08:30:00,-119.245162964
156,2019-12-04 09:00:00,-121.957084656
157,2019-12-04 09:30:00,-123.312538147
158,2019-12-04 10:00:00,-125.985115051
159,2019-12-04 10:30:00,-120.120018005
160,2019-12-04 11:00:00,-119.557579041
161,2019-12-04 11:30:00,-126.824653625
162,2019-12-04 12:00:00,-129.078125
163,2019-12-04 12:30:00,-129.831604004
164,2019-12-04 13:00:00,-129.510513306
165,2019-12-04 13:30:00,-130.109100342
166,2019-12-04 14:00:00,-131.032791138
167,2019-12-04 14:30:00,-131.282073975
168,2019-12-04 15:00:00,-131.73739624
169,2019-12-04 15:30:00,-131.383468628
170,2019-12-04 16:00:00,-131.381958008
171,2019-12-04 16:30:00,-131.345275879
172,2019-12-04 17:00:00,-131.07862854
173,2019-12-04 17:30:00,-130.65322876
174,2019-12-04 18:00:00,-130.570556641
175,2019-12-04 18:30:00,-130.626876831
176,2019-12-04 19:00:00,-129.564437866
177,2019-12-04 19:30:00,-127.970626831
178,2019-12-04 20:00:00,-127.771575928
179,2019-12-04 20:30:00,-127.493766785
180,2019-12-04 21:00:00,-125.623825073
181,2019-12-04 21:30:00,-124.066673279
182,2019-12-04 22:00:00,-122.299171448
