,time,6.2 Hz - 12.5 Hz
0,2019-12-01 00:00:00,-120.728683472
1,2019-12-01 00:30:00,-118.796615601
2,2019-12-01 01:00:00,-118.971450806
3,2019-12-01 01:30:00,-119.444877625
4,2019-12-01 02:00:00,-119.559074402
5,2019-12-01 02:30:00,-118.927818298
6,2019-12-01 03:00:00,-119.538360596
7,2019-12-01 03:30:00,-119.882362366
8,2019-12-01 04:00:00,-118.281616211
9,2019-12-01 04:30:00,-120.018180847
10,2019-12-01 05:00:00,-118.667266846
11,2019-12-01 05:30:00,-117.412185669
12,2019-12-01 06:00:00,-117.280426025
13,2019-12-01 06:30:00,-118.757331848
14,2019-12-01 07:00:00,-118.000076294
15,2019-12-01 07:30:00,-118.373649597
16,2019-12-01 08:00:00,-118.404304504
17,2019-12-01 08:30:00,-118.19985199
18,2019-12-01 09:00:00,-117.331512451
19,2019-12-01 09:30:00,-118.697479248
20,2019-12-01 10:00:00,-120.137023926
21,2019-12-01 10:30:00,-122.673789978
22,2019-12-01 11:00:00,-120.536880493
23,2019-12-01 11:30:00,-122.696807861
24,2019-12-01 12:00:00,-125.250160217
25,2019-12-01 12:30:00,-125.748176575
26,2019-12-01 13:00:00,-126.576599121
27,2019-12-01 13:30:00,-127.444824219
28,2019-12-01 14:00:00,-128.838409424
29,2019-12-01 14:30:00,-128.966674805
30,2019-12-01 15:00:00,-129.80456543
31,2019-12-01 15:30:00,-130.262145996
32,2019-12-01 16:00:00,-131.573730469
33,2019-12-01 16:30:00,-132.383895874
34,2019-12-01 17:00:00,-116.914543152
35,2019-12-01 17:30:00,-118.588592529
36,2019-12-01 18:00:00,-132.239364624
37,2019-12-01 18:30:00,-135.026504517
38,2019-12-01 19:00:00,-133.574920654
39,2019-12-01 19:30:00,-133.106613159
40,2019-12-01 20:00:00,-134.718215942
41,2019-12-01 20:30:00,-132.953704834
42,2019-12-01 21:00:00,-128.015945435
43,2019-12-01 21:30:00,-123.62953186
44,2019-12-01 22:00:00,-123.725090027
45,2019-12-01 22:30:00,-124.941673279
46,2019-12-02 00:00:00,-121.394790649
47,2019-12-02 00:30:00,-119.61139679
48,2019-12-02 01:00:00,-119.85042572
49,2019-12-02 01:30:00,-121.122871399
50,2019-12-02 02:00:00,-122.186325073
51,2019-12-02 02:30:00,-121.143180847
52,2019-12-02 03:00:00,-120.011657715
53,2019-12-02 03:30:00,-120.571784973
54,2019-12-02 04:00:00,-120.874427795
55,2019-12-02 04:30:00,-120.783958435
56,2019-12-02 05:00:00,-121.793075562
